IPSWICH (UPTON LODGE),,,,,,,,,,,,
Grid ref,TM173447,Long,1.168294,Lat,52.058045,,,,,,,
Station no,1340/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.51,2.65,2.38,1.20,2.22,3.63,1.15,2.69,-999.00,,,
February,3.56,0.80,,2.06,2.13,1.27,2.52,2.87,-999.00,,,
March,2.97,3.04,,2.58,1.45,0.99,1.47,1.15,-999.00,,,
April,2.94,0.79,,0.24,0.20,0.87,0.31,0.97,-999.00,,,
May,2.22,0.73,,1.25,2.37,1.11,1.98,2.87,-999.00,,,
June,0.96,1.68,2.97,1.98,3.24,1.58,2.25,4.91,-999.00,,,
July,2.69,0.84,2.01,2.75,0.18,2.55,2.67,2.41,-999.00,,,
August,3.21,2.43,,3.11,4.82,3.35,2.59,3.12,-999.00,,,
September,2.95,1.80,,1.11,1.23,1.91,2.47,3.74,,,,
October,0.67,2.38,,1.71,3.88,1.33,1.66,2.71,-999.00,,,
November,3.96,3.82,1.37,3.99,0.66,0.77,2.60,,-999.00,,,
December,1.62,2.57,0.68,2.05,1.53,1.87,2.10,,-999.00,,,
Total,29.26,23.53,,24.03,23.91,21.23,23.77,,-999.00,,,
Calc annual,29.26,23.53,9.41,24.03,23.91,21.23,23.77,27.44,0.00,0.00,,
Difference,-0.00,0.00,NaN,-0.00,0.00,0.00,-0.00,NaN,-999.00,NaN,,
