"WHITEHALL (PUMPING STATION)",,,,,,,,,,,,
Grid ref,TL284220,Long,-0.135951,Lat,51.881787,,,,,,,
Station no,966/4/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,0.95,2.04,3.85,1.03,2.36,2.37,2.20,,
February,,,,2.18,1.78,0.75,2.58,2.26,0.03,1.89,,
March,,,,2.18,1.25,0.64,1.24,1.11,2.10,1.21,,
April,,,,0.20,0.48,1.02,0.19,1.10,2.30,0.47,,
May,,,,2.11,4.26,0.39,1.09,2.46,0.92,1.01,,
June,,,,2.50,2.55,3.08,1.73,5.57,1.22,1.59,,
July,,,,2.73,0.12,2.60,3.13,3.17,5.17,2.45,,
August,,,,2.95,0.90,4.57,1.71,2.27,2.75,2.90,,
September,,,,1.37,1.45,2.19,3.05,2.81,0.11,4.76,,
October,,,,1.67,3.37,1.84,2.29,2.51,2.09,5.68,,
November,,,,4.48,1.79,0.91,2.62,1.98,1.97,3.72,,
December,,,,1.86,2.02,3.37,2.16,2.79,4.33,3.47,,
Total,,,,25.18,22.01,25.21,22.82,30.39,25.36,31.35,,
Calc annual,0.00,0.00,0.00,25.18,22.01,25.21,22.82,30.39,25.36,31.35,,
Difference,NaN,NaN,NaN,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
