BRADNINCH-WESTFIELD,,,,,,,,,,
Grid ref,SS994033,Long,-3.42953,Lat,50.8205,Elevation,205,ft,,
Station no,1785/4,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,5.14,4.4
February,,,,,,,,,0.33,4.39
March,,,,,,,,,4.22,2.36
April,,,,,,,,,2.96,4.08
May,,,,,,,,,1.41,1.8
June,,,,,,,,,1.26,0.78
July,,,,,,,,,3.35,6.01
August,,,,,,,,,2.8,3
September,,,,,,,,,0.23,5.26
October,,,,,,,,,4.66,11
November,,,,,,,,,8.44,4.21
December,,,,,,,,,9.98,4.9
Total,,,,,,,,,44.78,52.19
,,,,,,,,,,
Unknown which house in Westfield Rd observer lived so NGR taken from MIDAS,,,,,,,,,,
,,,,,,,,,,
Post 1960 known as Bradninch SRC_ID 8271,,,,,,,,,,
1959-1982,,,,,,,,,,
