KILMARNOCK AGRICULTURAL COLLEGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS417377,Long,-4.514513,Lat,55.607083,Elevation,100,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,2.25,4.54,7.76,3.86,3.13,3.47,2.12,5.16,4.72,3.25,2.89,2.14,3.01,3.91,3.62,4.6,3.33,4.32,4.27,5.33,7.36,3.15,4.21,5.19,3.73,4.28,5.62,9.67,1.68,4.89,4.49,,,,,,,,,
February,,2.35,0.96,4.44,2.89,3.08,2.67,2.89,2.93,3.22,4.85,6.18,2.19,1.92,4.43,4.95,4.01,1.36,5.69,0.62,4.54,1.79,5.13,3.71,0.94,3.18,4.47,2.23,3.38,2.16,0.21,3.78,,,,,,,,,
March,,2.5,3.63,7.22,2,4.21,2.72,3.92,4.06,1.62,1.69,1.41,4.88,3.72,4.41,1.8,1.19,2.36,1.84,2.7,3.97,5.66,2,1.94,0.78,2.18,3.07,2.46,2.04,1.22,2.35,1.12,,,,,,,,,
April,,3.8,1.03,1.41,4.45,2.52,1.35,2.71,1.98,4.05,3,2.68,1.98,2.35,2.62,2.76,3.51,1.72,0.69,1.59,1.59,1.29,2.18,2.81,2.25,3.98,1.67,3.31,1.28,1.25,1.69,1.87,,,,,,,,,
May,,1.55,2.3,3.76,2.64,1.97,4.52,3.34,2.62,2.39,2.11,2.35,1.16,2.81,1.83,0.8,3.68,3.1,2.08,0.7,4.89,2.65,3.67,1.71,4.64,6.26,2.78,1.96,1.79,2.92,1.54,2.63,,,,,,,,,
June,,2.77,1.49,2.82,1.28,1.55,1.06,3,2.62,3.07,1.45,2.09,3.58,2.65,0.76,2.01,1.91,3.01,1.27,5.39,3.48,1.18,3.02,1.49,2.73,0.44,1.76,4.83,4.24,3.26,3.04,,,,,,,,,,
July,,1.84,3.26,3.5,3.93,3.26,2.85,2.36,2.81,4.76,3.23,2.47,2.29,1.48,2.32,4.12,3.96,2.39,2.89,0.84,3.13,3.94,2.86,3.68,3.56,2.63,3.9,4.51,2.52,4.1,2.5,,,,,,,,,,
August,,5.38,2.92,7.06,5.61,4.23,4.91,4.05,4,3.49,7.19,2.53,2.96,1.52,4.33,2.87,3.4,3.04,3.7,3.01,5.89,6.01,3.99,7.05,4.12,3.51,3.51,4.07,4.31,6.37,5.44,,,,,,,,,,
September,,3.55,2.98,3.29,4.34,4.18,1.7,1.26,5.1,2.12,1.97,2.02,2.65,2.42,1.9,1.12,2.05,2.58,6.53,3.64,2.64,2.27,1.87,6.17,5.32,3.14,3.85,7.08,4,1.7,2.75,,,,,,,,,,
October,,5.06,2.08,8.5,2.08,3.45,5.57,6.23,0.97,4.74,2.37,2.69,3.64,1.91,2.37,2.05,6.15,7.81,5.56,0.84,1.49,4.34,2.59,6,3.24,3.6,4.87,4.43,6.71,5.07,6.09,,,,,,,,,,
November,,4.7,2.19,3.48,3.46,3.1,3.66,3.67,3.53,2.55,3.31,4.08,3.56,4.88,5.04,1.69,3.42,8.79,3.76,3.9,3.49,2.36,3.08,3.92,2.84,2.19,4.95,4.93,5.48,6.36,4.87,,,,,,,,,,
December,,4.68,3.82,4.25,3,3.82,4.53,4.91,3.86,4.03,3.54,4.62,5.73,4.9,4.11,4.74,5.08,2.96,4.57,7.75,3.46,6.96,3.56,4.68,4.66,3.66,2.44,0.73,3.7,8.4,4.02,,,,,,,,,,
Total,,40.43,31.2,57.49,39.54,38.5,39.01,40.46,39.64,40.76,37.96,36.01,36.76,33.57,38.03,32.53,42.96,42.45,42.9,35.25,43.9,45.81,37.1,47.37,40.27,38.5,41.55,46.16,49.12,44.49,39.39,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900 deleted estimated from North Craig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
