HAMBLEDON-VANN-PUMPING-STATION,,,,,,,,,,
Grid ref,SU978380,Long,-0.603627,Lat,51.132934,Elevation,200,ft,,
Station no,62/1,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,5.08,2.57,3.65,3.72,3.55
February,,,,,,0.36,4.64,2.84,0.05,2.98
March,,,,,,0.73,1.8,2.7,3.26,1.58
April,,,,,0.2,1.3,0.34,1.05,2.58,0.83
May,,,,,3.84,0.34,1.3,3.1,0.86,1.48
June,,,,,2.49,2.08,1.42,3.89,1.28,1.89
July,,,,,1.11,3.83,3.93,1.54,2.03,3.4
August,,,,,1.57,3.2,3.07,4.64,2.37,3.95
September,,,,,2,4.11,2.82,4.71,0.11,3.24
October,,,,,4.68,1.58,1.81,2.66,3.01,8.38
November,,,,,2.87,1.02,3.1,2.27,4.27,5.97
December,,,,,3.87,5.18,2.63,3.67,6.72,4.3
Total,,,,,,28.81,29.43,36.72,30.26,41.55
,,,,,,,,,,
Pumping Station not found NGR taken from sheet,,,,,,,,,,
1955 Mar 8 Inspection Measure broken and made waterproof with tape Large falls above 0.25in suspect Gauge sound Recommend new gauge and new site,,,,,,,,,,
1955 Apr Gauge moved 25ft E - data before deleted,,,,,,,,,,
,,,,,,,,,,
Post 1960 known as Vann P Sta SRC_ID 7356,,,,,,,,,,
1953-1964,,,,,,,,,,
