HAMBLEDON (VANN PUMPING STATION),,,,,,,,,,,,
Grid ref,SU978380,Long,-0.603627,Lat,51.132934,,,,,,,
Station no,62/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,1.90,3.76,5.08,2.57,3.65,3.72,3.55,,
February,,,,3.09,1.85,0.36,4.64,2.84,0.05,2.98,,
March,,,,3.95,1.45,0.73,1.80,2.70,3.26,1.58,,
April,,,,0.34,0.20,1.30,0.34,1.05,2.58,0.83,,
May,,,,2.12,3.84,0.34,1.30,3.10,0.86,1.48,,
June,,,,3.76,2.49,2.08,1.42,3.89,1.28,1.89,,
July,,,,2.52,1.11,3.83,3.93,1.54,2.03,3.40,,
August,,,,2.86,1.57,3.20,3.07,4.64,2.37,3.95,,
September,,,,2.43,2.00,4.11,2.82,4.71,0.11,3.24,,
October,,,,2.35,4.68,1.58,1.81,2.66,3.01,8.38,,
November,,,,6.54,2.87,1.02,3.10,2.27,4.27,5.97,,
December,,,0.78,2.81,3.87,5.18,2.63,3.67,6.72,4.30,,
Total,,,,34.67,29.69,28.81,29.43,36.72,30.26,41.55,,
Calc annual,0.00,0.00,0.78,34.67,29.69,28.81,29.43,36.72,30.26,41.55,,
Difference,NaN,NaN,NaN,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
