"THIRSK BALDERSBY PARK",,,,,,,,,,,,
Grid ref,SE387762,Long,-1.408556,Lat,54.180129,,,,,,,
Station no,RR4600,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,0.68,0.76,,
February,,,,,,,,,1.16,0.51,,
March,,,,,,,,,3.10,3.11,,
April,,,,,,,,,1.91,3.13,,
May,,,,,,,,,2.13,1.11,,
June,,,,,,,,,0.61,2.00,,
July,,,,,,,,,4.03,3.11,,
August,,,,,,,,,1.33,3.33,,
September,,,,,,,,,2.61,1.42,,
October,,,,,,,,,1.35,2.25,,
November,,,,,,,,,1.06,0.66,,
December,,,,,,,,,1.16,4.17,,
Total,,,,,,,,,21.13,25.56,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.13,25.56,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,,
