BALDERSBY PARK,,,,,,,,,,,,,,,,,
Grid ref,SE383760,Long,-1.415,Lat,54.178,Elevation,100,ft,,,,,,,,,
Station no,RR4600,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924
January,0.68,0.76,2.44,1.04,2.94,4.26,0.87,3.37,0.62,2.00,1.90,3.08,3.08,2.39,2.47,1.31,1.71
February,1.16,0.51,2.15,0.73,1.33,1.01,1.52,3.00,2.27,0.75,2.10,1.22,1.14,0.20,1.96,3.58,0.82
March,3.10,3.11,0.61,1.39,2.67,2.03,1.42,0.79,2.78,1.79,0.95,2.66,2.11,0.95,1.67,1.33,0.87
April,1.91,3.13,2.10,1.01,0.08,2.76,0.40,0.80,1.31,1.39,1.23,1.61,3.33,0.92,2.49,1.60,1.59
May,2.13,1.11,1.74,1.08,3.55,1.54,1.85,1.30,2.74,1.07,3.38,1.04,2.43,1.62,0.60,1.94,4.04
June,0.61,2.00,1.47,2.81,5.30,1.23,1.45,0.35,1.60,1.95,1.21,0.97,0.92,0.45,2.20,0.61,1.84
July,4.03,3.11,2.63,0.52,3.05,0.78,4.18,3.98,2.07,1.12,3.48,1.99,4.53,1.27,4.69,3.51,2.91
August,1.33,3.33,3.13,2.64,3.38,0.88,1.37,2.11,2.75,5.01,2.02,2.14,1.73,3.87,3.76,3.11,2.11
September,2.61,1.42,0.20,2.16,1.60,1.16,1.02,0.81,2.02,0.46,5.68,0.72,1.17,1.39,3.43,2.08,2.08
October,1.35,2.25,2.59,2.62,2.28,2.12,1.54,1.07,4.17,3.32,1.59,3.55,2.44,1.42,0.92,2.46,3.30
November,1.06,0.66,3.02,3.45,1.97,1.64,2.08,1.35,1.52,1.07,1.32,2.00,1.10,2.06,1.15,2.70,1.90
December,1.16,4.17,2.30,3.81,1.29,0.63,3.47,5.80,1.02,1.44,3.20,3.06,2.53,2.16,3.70,2.74,1.71
Total,21.13,25.56,24.38,23.26,29.44,20.04,21.17,24.73,24.87,21.37,28.06,24.04,26.51,18.70,29.04,26.97,24.88
,,,,,,,,,,,,,,,,,
TYRain_1900-1909_22_pt1/126,,,,,,,,,,,,,,,,,
TYRain_1910-1919_20_pt1/277,,,,,,,,,,,,,,,,,
TYRain_1920-1930_23_pt1/165,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
# Grid reference is where 'Weather Barometers' appear on the old OS map within Baldersby Park.,,,,,,,,,,,,,,,,,
