MILE RIGG,,,,,,,,,
Grid ref,NY876170,Long,-2.193,Lat,54.548,Elevation,1400,ft,
Station no,RR6024,,,,,,,,
,,,,,,,,,
,1875,1876,1877,1878,1879,1880,1881,1882,1883
January,,1.80,,5.00,-999.00,1.00,-999.00,,5.05
February,,7.00,3.75,2.30,-999.00,5.50,-999.00,,3.02
March,,6.25,6.40,3.40,2.95,1.60,-999.00,,
April,,3.10,3.10,4.20,1.00,2.70,2.40,,
May,,1.20,3.25,5.70,2.90,2.35,2.70,,
June,,2.00,1.80,3.60,4.30,4.20,-999.00,,
July,,3.20,4.00,2.50,5.60,7.90,-999.00,,
August,,4.30,9.65,5.00,6.70,2.00,6.70,,
September,,5.90,4.10,4.10,3.10,6.40,4.80,,
October,4.20,3.30,5.45,6.00,2.90,2.10,6.60,,
November,5.30,3.00,7.80,3.40,1.70,5.00,5.50,,
December,2.80,7.10,4.15,3.30,2.60,3.30,4.80,,
Total,,48.15,,48.50,37.75,44.05,52.70,,
,,,,,,,,,
TYRain_1870-1879_08_pt3/076,,,,,,,,,
TYRain_1880-1889_11_pt2/072,,,,,,,,,
,,,,,,,,,
# The reading for January 1877 is an estimate and has been omitted.,,,,,,,,,
# The readings for January and February 1879 are grouped into a single aggregate reading of 4.00 on the sheet.,,,,,,,,,
#,,,,,,,,,
# The readings for June-July 1881 are grouped into a single aggregate reading of 9.40 on the sheet.,,,,,,,,,
