ASHOPTON CUTTHROAT BRIDGE NO 31,,,,,,,,,,,,
Grid ref,SK213873,Long,-1.681251,Lat,53.382123,,,,,,,
Station no,RR6185,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,5.49,2.44,3.53,2.77,,
February,,,,,,,4.86,3.12,4.63,3.44,,
March,,,,,,,4.32,4.55,4.10,4.54,,
April,,,,,,,1.85,3.31,3.31,2.32,,
May,,,,,,,3.04,4.20,3.31,2.68,,
June,,,,,,,1.62,5.47,2.67,4.66,,
July,,,,,,,2.96,2.67,3.06,4.68,,
August,,,,,,,3.35,4.30,4.17,1.98,,
September,,,,,,,1.26,0.67,3.11,3.36,,
October,,,,,,,5.74,6.95,1.45,5.14,,
November,,,,,,,5.75,4.05,3.21,1.50,,
December,,,,,,,4.64,3.34,2.74,8.10,,
Total,47.47,39.96,39.60,50.91,,38.56,44.88,45.07,39.29,45.17,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,44.88,45.07,39.29,45.17,,
Difference,47.47,39.96,39.60,50.91,NaN,38.56,-0.00,0.00,0.00,0.00,,
