"ABERFORD (LOTHERTON HALL)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,3312,,,,,,,,,,,
,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,
January,,,,,,,,2.46,4.71,3.02,,
February,,,,,,,,1.50,1.43,2.82,,
March,,,,,,,,0.20,2.09,2.46,,
April,,,,,,,,0.03,1.32,2.53,,
May,,,,,,,,2.76,1.75,0.75,,
June,,,,,,,,2.17,2.18,0.87,,
July,,,,,,,,3.06,5.87,4.78,,
August,,,,,,,,4.99,1.52,0.51,,
September,,,,,,,,1.65,3.27,1.44,,
October,,,,,,,,2.99,2.01,3.30,,
November,,,,,,,,3.25,3.42,4.49,,
December,,,,,,,,3.98,1.60,2.44,,
Total,,,,,,,,29.04,31.17,29.41,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.04,31.17,29.41,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,-0.00,,
