TAYLORS GILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY228109,Long,-3.1917,Lat,54.4876,Elevation,1077,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,18.1,14.37,21.2,,,42.21,,24.13,24.12,,29.05,-999,-999,,1.2,,,,,,,,
February,,,,,,,,19.85,21.3,24.48,,,21.42,,,,,,-999,-999,27,,,,,,,,,
March,,,,,,,,8.96,33.43,4.18,42.9,,16.73,,,,16.8,32.02,-999,-999,11.2,,,,,,,,,
April,,,,,,,,19.8,12.4,13.05,,8.41,11.59,,,,,6.72,-999,5,8.7,30,,,,,,,,
May,,,,,,,,6.16,7.78,3.2,21.8,,6.46,,,8.87,2.9,10,14.1,6.46,8.7,17.1,,,,,,,,
June,,,,,,,,6.05,4.23,5.68,5.88,,14.45,,2.15,12.9,10.9,17.58,7.22,12,13.5,19.8,,,,,,,,
July,,,,,,,,13.54,4.05,12.84,3.17,,8.11,,9.62,,8.3,19.6,4.42,14.4,12,15.6,,,,,,,,
August,,,,,,,,18.8,15.83,5.97,4.03,,12.73,,,16.09,10.4,17.05,9.82,16.3,6.8,18.2,,,,,,,,
September,,,,,,,,15.24,6.92,27.15,14.55,,31.03,,19.95,12.05,11.35,9.05,21.4,21.55,13.5,6.2,,,,,,,,
October,,,,,,,,16.8,21.23,14.77,27,,21.65,25.14,,11.19,8.6,30,18.8,14.24,2.5,7.4,,,,,,,,
November,,,,,,,,,11.45,19.8,10.9,,19.32,12.41,,16.9,9.8,29.12,5,1.78,20,17.1,,,,,,,,
December,,,,,,,,20.4,25.18,26.75,7.35,,19.03,14.81,16.75,,19.3,19.5,5,16.77,20.5,14,,,,,,,,
Total,,,,,,,,163.7,178.17,179.07,,,224.73,,,,,219.69,135.66,132.07,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1878 Jan-Feb bracketed, =36.63""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1878 Mar-Apr bracketed, =13.27""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1879 Jan-Mar bracketed, =23.57",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1880 Jan frozen, annual total deleted",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
