HEATHFIELD-HAILSHAM-ROAD,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ584206,Long,0.25427768,Lat,50.963053,Elevation,425,ft,,,,,,,,,,,,
Station no,551/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,5.24,6.62,4.55,6.81,2.85,4.37,3.21,6.27,2.23,2.41,2.8,3.06,5.47,0.71,1.53
February,,,,,,2.37,6.22,0.78,1.74,3.29,4.06,0.92,1.82,1.3,2.49,2.99,2.81,2.02,1.71,5.71
March,,,,,,1.79,5.18,0.82,1.61,3.14,3.04,3.88,0.4,0.09,2.02,2.12,7.39,0.95,1.01,1.08
April,,,,,,2.43,3.05,0.62,2.89,1.62,1.98,1.31,1.96,1.8,0.85,2.25,1.85,1.04,2.02,
May,,,,,,0.38,2.5,3.01,1.29,1.37,2.4,3.23,2.65,0.68,1.78,3.27,1.53,2.26,1.89,
June,,,,,,3.38,1.8,0.69,1.45,0.24,1.92,0.16,1.52,1.57,1.63,2.31,3.42,1.89,1.15,
July,,,,,,3.84,1.05,2.79,3.11,3.15,3.19,2.52,2.04,2.53,3.29,2.28,1.41,2.45,0.23,
August,,,,,,0.88,1.49,1.91,2.04,0.06,6.2,2.8,1.42,2.66,1.89,8.24,0,4.45,1.18,
September,,,,,,2.55,1.59,3.98,0.41,2.44,0.45,2.56,1.5,2.25,1.49,3.13,1.49,1.86,3.69,
October,,,,,,1.97,4.31,4.97,6.61,4.55,1.44,3.56,2.09,4.79,2.66,1.05,0.74,2.65,7.11,
November,,,,,,5.94,1.41,4.17,6.87,8.01,4.54,1.88,1.64,5.91,0.42,4.55,1.64,2.18,4.87,
December,,,,,,3.34,4.25,4.46,2.08,2.34,2.47,3.63,2.28,2.47,3.92,2.58,2.68,4.04,1.57,
Total,,,,,,34.11,39.47,32.75,36.91,33.06,36.06,29.66,25.59,28.28,24.85,37.57,28.02,31.26,27.14,
