SOLIHULL MARSH COTTAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP161797,Long,-1.7647163,Lat,52.415064,Elevation,423,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,2472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,0.94,3.86,3.67,0.83,2.48,1.23,1.8,2.12,3.63,2.94,2.16,2.94,1.41,2.49,1.88,3.28,2.99,3.85,1.05,3.32,1.91,1.79,,,,,,,,
February,,1.65,1.6,0.83,1.48,3.6,4.23,0.85,1.21,2.87,1.22,0.19,2.43,4.2,0.42,2.94,2.19,2.8,1.98,0.7,0.67,2.04,0.27,,,,,,,,
March,,1.9,3.85,3.92,2.14,0.81,4.79,1.43,1.28,4.08,2.39,1.39,1.76,1.72,0.99,0.84,0.85,2.99,1.53,0.17,2.77,0.32,1.73,,,,,,,,
April,,0.9,0.15,3.04,1.17,0.96,0.89,1.18,2.87,1.43,4.42,1.29,3.34,2.28,3.7,2.13,2.31,1.79,1.41,0.9,2,3.21,3.34,,,,,,,,
May,,0.61,2.93,2.04,1.58,2.9,2.46,2.66,2.23,0.6,2.62,1.49,0.82,1.38,5.07,2.71,3.63,1.59,0.68,1.8,2.19,3.49,7.61,,,,,,,,
June,,1.47,4.56,1.04,3.11,1.35,1.8,2.29,0.9,1.15,2.63,0.49,0.78,0.42,1.57,0.25,1.21,4.16,3.12,1.4,1.69,3.32,1.91,,,,,,,,
July,,0.23,4.76,1.33,3.75,7.15,3.57,1.54,2.63,3.44,4.57,0.49,5.69,2.92,2.78,4.04,1.51,3.06,1.22,1.55,4.9,3.62,2.79,,,,,,,,
August,,1.8,6.2,1.42,1.53,1.85,2.94,5.27,1.14,1.42,1.39,4.1,5.35,2.3,3.09,2.18,2.51,3.75,2.53,2.29,4.31,5.44,2.02,,,,,,,,
September,,1.43,0.71,1.9,0.94,0.68,0.85,1.65,4.43,1.31,2.27,0.94,2.36,3.07,3.19,3.9,0.95,4.63,0.8,0.75,3.94,3.02,2.99,,,,,,,,
October,,2.1,2.63,2.3,2.19,1.94,2.93,3.13,1.14,1.86,2.5,1.43,0.3,3.67,3.71,3.85,2.66,1.71,4.6,3.35,2.53,0.72,2.89,,,,,,,,
November,,2.49,1.68,2.78,2.85,2.99,3.01,0.92,1.19,1.8,0.8,1.97,1.19,1.83,2.18,1.58,5.01,3.81,3.79,6.97,3.03,3.45,,,,,,,,,
December,,4.67,3.87,1.09,5.9,4.6,2.52,1.33,2.71,3.85,2.3,1.76,3.61,3.37,3.29,2.39,0.51,2.68,2.22,5.91,2.48,1.41,,,,,,,,,
Total,,20.19,36.8,25.36,27.47,31.31,31.22,24.05,23.85,27.44,30.05,17.7,30.57,28.57,32.48,28.69,26.62,35.96,27.73,26.84,33.83,31.95,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1932 Nov 1.75, Dec 1 and total estimated therefore removed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
