LOUGH NAVER (MUDALE ALTNAHARRA),,,,,,,,,,
Grid ref,NC533357,Long,-4.503759,Lat,58.285364,Elevation,296,ft,,
Station no,5801/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,2.56,7.4,,,,
February,,,,,5.4,,,,,
March,,,,,2.73,,,,,
April,,,,2.54,1.06,,,,,
May,,,,3.81,4.4,,,,,
June,,,,2.98,1.51,,,,,
July,,,,3.04,0.65,,,,,
August,,,,2.71,0.52,,,,,
September,,,,4.33,5,,,,,
October,,,,7.25,7.52,,,,,
November,,,,5.85,2.9,,,,,
December,,,,13.15,9.09,,,,,
Total,,,,,43.34,,,,,
