FORRES BALNAFERRY,,,,,,,,,,,,,,,,,,,,
Grid ref,NJ030575,Long,-3.624544,Lat,57.597056,Elevation,70,ft,,,,,,,,,,,,
Station no,5683,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,0.85,1.4,0.85,,,2.22,3.6,0.5,0.9,0.55,,,,,,
February,,,,,2.4,2.35,3.05,,,1.15,1.12,1.65,1.05,1.92,,,,,,
March,,,,,0.5,4.05,2.7,,,3.75,0.9,1.08,0.9,2.32,,,,,,
April,,,,,1.1,2.5,1.95,,,1.7,5.05,1.35,1.1,1.2,,,,,,
May,,,,,2,1.72,3.65,,,2.05,1.25,2,2.4,1.05,,,,,,
June,,,,,1.3,0.25,1.2,,,1.18,1.6,2.7,3.55,3.03,,,,,,
July,,,,,0.25,2.4,1.65,,,3.38,2.7,2.6,1.3,1.05,,,,,,
August,,,,,2.4,2.1,3.6,,,1.7,3.95,0.55,4.1,1,,,,,,
September,,,,,2.1,2.3,1.79,,,1.4,1.15,1.1,1.05,2.65,,,,,,
October,,,,,1.7,4.65,3.4,,,3.7,1.7,2.14,1.75,0.85,,,,,,
November,,,,,1.68,4.35,5.98,,,2.3,3.5,6.35,2.7,1.07,,,,,,
December,,,,,1.95,0.8,1.86,,,2.28,2,2.05,2.05,2.3,,,,,,
Total,,,,,18.23,28.87,31.68,,19.95,26.81,28.52,24.07,22.85,18.99,,,,,,
,,,,,,,,,,,,,,,,,,,,
2 sheets merged,,,,,,,,,,,,,,,,,,,,
