"FORRES, BALNAFERRY",,,,,,,,,,,,
Grid ref,NJ030575,Long,-3.624544,Lat,57.597056,,,,,,,
Station no,5683,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,2.22,,
February,,,,,,,,,,1.15,,
March,,,,,,,,,,3.75,,
April,,,,,,,,,,1.70,,
May,,,,,,,,,,2.05,,
June,,,,,,,,,,1.18,,
July,,,,,,,,,,3.38,,
August,,,,,,,,,,1.70,,
September,,,,,,,,,,1.40,,
October,,,,,,,,,,3.70,,
November,,,,,,,,,,2.30,,
December,,,,,,,,,,2.28,,
Total,,,,,,,,,19.95,26.81,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.81,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.95,0.00,,
