"FORRES",,,,,,,,,,,,
Grid ref,NJ046576,Long,-3.597826,Lat,57.598296,,,,,,,
Station no,5683,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.13,,,,,,,,,,,
February,1.84,,,,,,,,,,,
March,2.03,,,,,,,,,,,
April,3.36,,,,,,,,,,,
May,0.40,,,,,,,,,,,
June,1.97,,,,,,,,,,,
July,2.98,,,,,,,,,,,
August,3.44,,,,,,,,,,,
September,0.43,,,,,,,,,,,
October,1.71,,,,,,,,,,,
November,3.96,,,,,,,,,,,
December,2.14,,,,,,,,,,,
Total,26.39,,,,,,,,,,,
Calc annual,26.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,-0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
