"FORRES BALNAFERRY",,,,,,,,,,,,
Grid ref,NJ030575,Long,-3.624544,Lat,57.597056,,,,,,,
Station no,5683,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,0.85,1.40,0.85,,,,,
February,,,,,2.40,2.35,3.05,,,,,
March,,,,,0.50,4.05,2.70,,,,,
April,,,,,1.10,2.50,1.95,,,,,
May,,,,,2.00,1.72,3.65,,,,,
June,,,,,1.30,0.25,1.20,,,,,
July,,,,,0.25,2.40,1.65,,,,,
August,,,,,2.40,2.10,3.60,,,,,
September,,,,,2.10,2.30,1.79,,,,,
October,,,,,1.70,4.65,3.40,,,,,
November,,,,,1.68,4.35,5.98,,,,,
December,,,,,1.95,0.80,1.86,,,,,
Total,,,,,18.23,28.87,31.68,,,,,
Calc annual,0.00,0.00,0.00,0.00,18.23,28.87,31.68,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,0.00,-0.00,0.00,NaN,NaN,NaN,,
