"FORRES, DRUMDUAN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NJ 04750 59267,Long,-3.595966,Lat,57.613291,Elevation,120,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,5683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,,0.68,1.19,3.14,2.33,1.4,1.25,1.72,3.48,2.2,2.25,2.88,1.01,1.45,2.54,1.08,2.59,3.51,0.47,1.35,1.91,2.65,1.78
February,,,,,,,,,,0.42,0.9,1.86,0.46,2.82,0.73,1.75,1,1.95,0.94,1.1,0.61,2.84,1.78,1.8,1.79,1.45,2.12,0.88,1.65,1.3,1.91
March,,,,,,,,,,0.25,1.06,1.25,3.53,0.5,2.4,1.46,0.73,1.92,0.78,2.06,3.03,1.66,0.47,1.16,1.11,0.83,0.82,2.02,0.89,2.15,1.65
April,,,,,,,,,,2.05,0.99,2.49,3.48,2.12,3.71,3.41,0.76,0.35,0.5,1.17,1.25,1.14,0.76,1.38,1.63,1.38,1.04,1.65,1.65,1.69,2.65
May,,,,,,,,,,2.15,0.81,2.75,2.41,0.79,2.29,1.83,1.05,1.11,2.57,0.79,1.59,3.08,2.4,3.11,1.57,3.51,1.76,1.53,2.16,2.46,1.66
June,,,,,,,,,,2.43,1.47,2.95,0.26,2.14,1.48,2.32,1.86,2.71,3.31,1.62,1.33,0.5,0.71,1.71,3.01,2.87,1.87,3.57,5.16,1.28,2.11
July,,,,,,,,,,2.58,3.11,5.55,3.44,3.45,3.74,1.72,5.38,3.33,4.02,5.22,9.08,3.63,3.01,1.78,1.12,2.23,5.86,2.12,2.77,1.63,2.02
August,,,,,,,,,,3.81,4.41,2.1,2.36,2.05,2.13,2.87,2.99,2.72,2.38,2.45,1.36,6.5,3.05,4,1.98,4.95,3.13,0.22,6.66,4.85,1.99
September,,,,,,,,,,1.65,3.39,1.98,3.79,1.03,0.98,4.81,2.16,1.59,3.19,1.21,2.05,0.94,3.03,2.85,3.08,2.05,3.14,3.25,2.21,1.83,4.33
October,,,,,,,,,,2.97,4.49,2.5,5.5,4.61,3.06,4.57,2.08,2.4,3.78,1.93,2.75,4.31,4.26,2.65,3.31,4.14,0.21,1.16,3.12,2.18,0.9
November,,,,,,,,,,1.69,4.6,1.91,2.97,1.32,1.16,2.25,1.18,0.87,2.46,2.32,4.26,2.63,0.98,2.18,3.43,0.39,2.76,4.05,1.92,3.13,3.49
December,,,,,,,,,,1.77,1.8,1.53,1.34,0.46,1.75,1.79,1.8,1.66,1.22,2.27,2.34,1.62,2.57,0.48,2.85,3.61,1.39,1.45,2.12,4.03,2.23
Total,,,,,,,,,,22.45,28.22,30.01,31.87,22.69,24.68,30.5,24.47,22.81,27.4,25.02,30.66,30.3,25.56,24.18,27.47,30.92,24.57,23.25,32.22,29.18,26.72
