DRUMDUAN GARDENS,,,,,,,,,,,,,,,,,,,,
Grid ref,NJ 04942 59354,Long,-3.592799,Lat,57.614114,Elevation,50,ft,,,,,,,,,,,,
Station no,5683/1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,2.25,1.29,1.21,1.66,3.45,2.25,2.37,2.96,0.8,1.29,2.66,,,,,,,,
February,,0.49,2.79,0.79,1.72,1.08,2.05,0.9,1.09,0.64,2.63,1.9,,,,,,,,
March,,3.48,0.53,2.5,1.47,0.77,1.92,0.63,1.97,2.93,1.78,0.81,,,,,,,,
April,,3.49,2.15,3.6,3.31,0.75,0.45,0.46,1.06,1.44,1.15,,,,,,,,,
May,,2.63,0.78,2.16,1.78,1.07,1.13,2.47,0.76,1.59,2.96,,,,,,,,,
June,,0.24,2.14,1.46,2.28,1.88,2.71,3.33,1.54,1.26,0.48,,,,,,,,,
July,,3.44,3.43,3.67,1.67,5.39,3.32,4.03,5.41,8.65,3.35,,,,,,,,,
August,,2.36,2.08,2.11,2.87,2.95,2.75,2.39,2.45,1.42,6.34,,,,,,,,,
September,,3.8,1.04,0.95,4.6,2.16,1.62,3.14,1.09,2,0.89,,,,,,,,,
October,,5.21,4.7,3.08,4.41,2.23,2.29,3.5,2.11,2.73,4.28,,,,,,,,,
November,,2.93,1.27,1.11,2.09,1.2,0.87,2.44,2.27,4.24,2.44,,,,,,,,,
December,,1.36,0.44,1.65,1.97,1.88,1.62,1.18,2.18,2.48,1.86,,,,,,,,,
Total,,31.68,22.64,24.29,29.83,24.81,22.98,26.84,24.89,30.18,29.45,,,,,,,,,
