"FORRES, MORAY",,,,,,,,,,
Grid ref,NJ 03826 59031,Long,-3.611333,Lat,57.610981,Elevation,53,ft,,
Station no,5683,,,,,,,,,
,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,2,1.77,4.82,0.71,4.48,,,,
February,,1.1,1.67,0.86,2.58,3.8,,,,
March,2.63,1.97,2.6,1.02,3.34,1.82,,,,
April,0.86,1.26,1.05,3.14,1.37,1.15,,,,
May,1.88,2.1,3.7,1.66,3.14,2.2,,,,
June,2.28,1.44,3.58,2.36,2.4,0.5,,,,
July,1.58,4.32,3.19,0.44,2.58,4.6,,,,
August,3.45,5.11,3.3,5.14,1.52,3.13,,,,
September,1.56,5.76,2.02,4.08,3,0.62,,,,
October,3.84,1.74,3.21,2.13,5.92,2.98,,,,
November,1.3,7.25,2.37,1.63,3.62,2.61,,,,
December,2.02,0.59,2.02,4.2,2.3,1.62,,,,
Total,,34.64,30.48,31.48,32.48,29.51,,,,
,,,,,,,,,,
Location Low Confidence,,,,,,,,,,
