GLASBURY-ON-WYE-TOWN,,,,,,,,,,,,,,,,,,,,
Grid ref,SO181393,Long,-3.1956216,Lat,52.04602,Elevation,276,ft.,,,,,,,,,,,,
Station no,4220,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,0.58,3.51,3.31,0.99,2.91,4.1,4.32,2.62,,5.13,5.2
February,,,,,,,,,,6.68,4.1,1,1.9,3.1,2.1,0.35,3.05,5.84,0.32,4.65
March,,,,,,,,,,1.35,4.52,2.23,2.55,2.49,2.62,1.21,2.04,0.84,3.07,2.64
April,,,,,,,,,,2.63,3.21,2.53,3.12,0.39,1.08,1.55,0.07,0.8,3.15,3.2
May,,,,,,,,,,2.03,3.51,4.41,1.63,2.07,5,0.72,2.48,3.12,2.38,1.56
June,,,,,,,,,0.59,1.51,1.08,2.95,1.26,4.24,4.93,2.05,1.9,3.38,1.47,1.96
July,,,,,,,,,0.45,3.63,0.93,0.9,3.39,2,1.32,2.65,2.42,3.29,3.63,3.15
August,,,,,,,,,1.41,4.14,3.87,6.55,3.02,4.74,0.96,3.62,2.89,2.29,1.6,3.49
September,,,,,,,,,1.89,4.4,2.36,2.57,3.2,2.46,1.79,4.07,5.8,6.87,0.22,5.43
October,,,,,,,,,6.8,1.82,1.14,4.21,2.81,4.41,2.32,2.27,1.87,3.97,3.54,8.74
November,,,,,,,,,4.18,5.29,8.51,2.98,1.88,8.04,2.96,1.15,3.32,2.32,5,8.68
December,,,,,,,,,2.97,1.7,3.06,3.87,1.38,3.46,4.68,4.06,3.55,3.3,9.11,5.45
Total,,,,,,,,,,35.76,39.8,37.51,27.13,40.31,33.86,28.02,32.01,,38.62,54.15
,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,
NGR is from the 1950s record and has the correct relationship with Hampton House/School. Altitudes match. Gauge moved in May 1949.,,,,,,,,,,,,,,,,,,,,
