MARESFIELD FOREST LODGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ4526626165,Long,0.069606,Lat,51.016521,Elevation,247,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,2.37,3.84,1.14,1.9,4.16,0.61,2.55,3.31,1.24,3.48,5.36,2.86,5.27,3.89,2.26,3.48,6.77,3.55,2.11,4.01,1.17,7.52,1.97,3.06,0.57,1.73,1.7,2.79,3.35,2.84,4.73,2.85,1.06,1.34,3.25,2.9,1.11,2.34,4.63,2.27,1.3,2.36,0.81,3.1,4.05,1.04,1.33,2.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,1.26,0.58,0.68,2.37,1,1.77,0.72,1.06,0.95,2.47,5.33,1.88,2.19,4.25,1.92,3.13,2.51,1.82,2.1,1.29,3.32,2.57,2.1,3.99,3.42,4.22,1.95,4.37,1.81,4.06,0.63,0.69,1.48,3.07,1.45,0.12,1.77,4,2.23,0.33,0.27,2.92,1.29,3.2,6.09,2.18,1.55,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,1.64,2.07,0.85,1.42,2.15,2.39,3.93,0.82,3.39,1.7,1.86,2.5,2.11,1.62,1.81,1.58,2.55,2.2,0.82,0.96,3.27,2.95,1.67,1.15,1.16,2.81,1.48,0.97,2.1,2.6,2.44,1.74,4.14,2.23,2.49,2.42,1.49,0.61,1.72,2.01,2.96,4.96,1.2,0.95,0.98,2.13,1.78,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,4.32,1.87,2.77,2.24,2.51,0.49,1.6,0.59,0.84,0.43,1.34,2.15,2.57,1.41,0.37,3.93,0.91,0.86,2.33,0.92,2.53,2.46,3.21,4.19,2.02,0.66,3.54,1.58,1.32,1.32,2.36,1.53,1.58,3.11,2.74,0.39,1.36,0.03,2.08,2.42,0.61,2.15,0.88,2.92,1.29,2.69,1.09,2.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,3.59,1.02,2.19,1.12,3.45,1.27,2.72,1.43,1.48,3.14,0.77,1.9,1.18,3.87,1.12,0.69,3.7,1.51,0.59,1.61,1.2,2.11,4.24,3.69,0.34,1.08,1.08,2,0.52,3.08,4.21,1.72,1.36,1.47,1.97,3.09,1.36,0.58,1.4,0.07,0.4,1.78,3.56,1.56,0.74,1.21,2.32,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,1.54,2.74,0.24,1.91,5.41,2.16,2.67,3.78,1.55,1.14,3.14,1.32,0.6,1.33,0.28,4.15,3.66,2.74,3.1,2.94,1.95,0.95,2.01,4.02,2.49,2.06,2.68,1.54,2.21,1.06,1.01,0.93,4.02,0.26,2.94,1.83,2.22,1.07,2.14,0.29,2.98,1.95,1.27,1.62,3.26,1.11,3.32,3.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,1.75,2.6,3.74,1.76,2.55,3.03,1.57,0.89,0.6,4.32,2.61,5.26,2.49,0.23,2.69,2.72,2.2,2.33,1.79,4.29,0.66,2.95,0.84,4.09,3.7,1.38,3.58,2.25,2.51,0.34,2.88,0.66,6.44,3.25,3.65,3.36,3.19,3.07,5.06,3.19,1.37,1.45,0.38,1.11,0.99,1.9,1.44,3.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,1.9,3.17,1.56,1.36,5.84,0.94,2.06,2.39,1.56,3.75,3.2,2.11,2.92,1.14,1.94,1.42,2.57,3.76,2.63,1.49,3.95,3.51,3.85,5.23,0.89,4.92,2,1.22,1.02,0.67,2.38,2.85,2.28,3.25,3.64,4.96,3.36,0.81,2.05,2.79,1.82,3.56,1.16,0.98,2.06,1.55,4.82,3.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,5.55,4.59,1.34,3.68,4.04,4.26,2.09,3.69,3.93,0.06,4.79,1.97,3.17,4.74,2.05,4.47,1.8,2.95,3.4,2.09,4.39,1.31,1.56,3.57,3.89,3.47,3.05,2.82,4.53,4.83,0.91,3.3,1.02,1.2,1.07,1.33,2.57,3.39,3.06,0.55,7.47,3.01,0.58,3.05,1.17,1.42,0.52,2.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,1.62,5.24,2.14,5.07,2.46,1.79,7.05,3.32,1.87,11.51,1.78,3.37,2.57,2.42,4.63,2.18,6.02,4.77,4.73,4.5,0.98,3.46,3.8,0.79,7.16,2.56,7.75,3.89,1.35,4.35,5.65,1.52,2.34,6.92,1.65,9.16,5.23,4.88,4.15,4.01,5.15,0.45,4.05,1.9,2.35,2.69,2.44,7.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,,1.07,2.12,1.46,4.59,2.51,6.72,1.15,2.1,5.03,3.43,2.03,1.41,1.69,2.84,2.2,0.72,7.28,2.82,2.98,4.83,3.31,8.14,4.09,1.15,4.26,4.48,4.3,4.75,1.37,3.95,3.87,5.62,4.52,1.49,3.74,3.51,3.24,2.4,6.01,5.77,1.65,1.51,4.01,4.72,4.2,0.71,2.83,2.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,,3.11,0.9,3.02,3.98,2.94,2.13,2.94,2.33,1.26,2.41,2.52,1.99,7.92,4.04,2.75,1.98,6.18,0.96,2.59,1.49,7.99,2.81,2.35,1.17,3.53,3.72,3.28,1.34,4.07,1.33,5.58,2.56,2.4,2.21,0.63,3.97,2.55,2.78,2.4,3.8,4.66,3.82,2.97,1.89,4,5.62,2.27,2.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,29.72,30.74,21.13,31.4,39.02,27.56,31.05,25.71,23.7,37.84,34.73,28.72,34.68,31.78,24.02,30.45,46.15,30.27,29.17,30.42,34.72,40.74,31.69,36.1,33.43,33.09,36.39,29.52,26.16,30.43,36.65,25.97,32.64,29.8,29.22,37.04,29.45,25.96,36.93,27.5,30.64,29.92,22.16,27,31.18,24.25,25.71,38.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
