KIRKMICHAEL (SCHOOL),,,,,,,,,,,,,,,,,,,,
Grid ref,NO 07904 60082,Long,-3.506531,Lat,56.723288,Elevation,700,ft,,,,,,,,,,,,
Station no,5569/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,5.21,5.09,4.26,4.26,1.8,4.37,9.87,7.5,3.44,,3,3.84,6.23,3.71,3.77,4.68,6.66,6.68,2.17,
February,2.56,0.14,4.42,0.31,3.52,2.46,3.19,1.38,3.67,,5.37,2.16,2.81,1.15,4.93,2.55,2.5,3.44,2.76,
March,1.01,2.54,1.99,2.14,2.03,2.68,1.66,0.88,2.41,,1.69,2.42,1.24,0.5,1.77,1.69,4.4,3.16,2.05,
April,2.43,3.64,1.47,3.24,3.53,0.79,1.35,0.27,1.39,2.24,1.16,2.55,1.98,2.66,1.09,0.7,5.4,1.37,1.91,
May,4.21,2.78,1.48,2.4,0.35,1.02,2.28,2.71,1.36,1.02,1.94,5.48,2.07,2.29,4.34,2.16,3.87,3.19,2.03,
June,5.13,1.35,1.14,1.01,3.61,1.76,1.47,4.82,1.52,0.09,0.77,1.11,2.71,2.69,3.87,2.49,3.12,4.19,1.86,
July,4.06,3.2,1.72,4.46,1.17,5.77,3.49,4.6,4.68,4.03,4.38,1.92,2.14,3.19,2.77,3.79,5.62,2.22,,
August,1.55,1.69,,6,2.51,2.12,3.15,2.06,1.53,1,3.38,4.28,4.86,2.34,1.22,3.81,0,5.86,,
September,0.98,1.99,,5.64,4.55,4.01,1.91,3.82,1.63,2.2,1.46,3.52,4.27,2.69,5.31,4.47,3.88,3.03,,
October,1.99,6.9,2.97,4.59,4.95,2.81,3.11,5.66,5.99,5.34,3.78,3.08,6.58,4.23,4.52,0.34,2.12,3.58,,
November,8.28,2.56,3.78,0.46,4.82,3.22,0.52,6.76,8.18,5.71,6.86,0.74,1.84,4.55,1.16,6.09,3.71,1.43,,
December,2.7,5.61,0.97,8.73,3.16,4.88,1.84,4.66,2.29,2.93,2.74,5.47,2.28,4.79,8.22,2.98,1.76,7.66,,
Total,40.11,37.49,,43.24,36,35.89,33.84,45.12,38.09,,36.53,36.57,39.01,34.79,42.97,35.75,43.04,45.81,,
,,,,,,,,,,,,,,,,,,,,
1933 Au Se +T Estd Deleted,,,,,,,,,,,,,,,,,,,,
1946 NP Low,,,,,,,,,,,,,,,,,,,,
1947 Feb estd snow,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,5569/5,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,
