"BUCKHORN WESTON",,,,,,,,,,,,
Grid ref,ST755247,Long,-2.350678,Lat,51.021145,,,,,,,
Station no,RR4098,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.14,2.56,1.03,2.77,3.08,0.66,4.39,0.74,1.05,1.17,,
February,4.82,1.30,0.99,1.32,3.81,0.63,2.38,1.22,1.03,0.62,,
March,0.85,2.58,1.81,3.37,1.14,4.09,1.07,0.54,2.40,3.72,,
April,1.64,2.08,1.82,2.85,1.04,1.92,0.54,3.36,1.67,1.56,,
May,1.56,1.16,2.66,2.47,2.71,0.34,4.16,1.54,1.56,1.10,,
June,2.36,1.27,3.16,2.93,0.71,3.19,1.73,2.33,0.44,3.58,,
July,1.15,3.23,1.42,3.56,3.09,0.24,1.11,1.55,1.78,3.83,,
August,1.89,2.59,2.95,3.64,2.93,3.42,1.34,2.66,2.33,2.26,,
September,0.24,2.45,0.94,2.36,1.58,1.42,0.87,0.56,2.13,3.13,,
October,2.57,1.85,2.19,5.81,2.03,1.59,4.58,6.57,1.29,5.66,,
November,2.59,0.58,2.77,1.78,1.36,3.61,3.01,3.01,1.01,0.69,,
December,5.66,4.76,1.43,2.42,2.80,0.73,1.67,4.17,2.61,3.85,,
Total,28.47,26.41,23.17,35.28,26.28,21.84,26.85,28.25,19.30,31.17,,
Calc annual,28.47,26.41,23.17,35.28,26.28,21.84,26.85,28.25,19.30,31.17,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
