"GLENMORISTON, CLUANIE INN",,,,,,,,,,,,,,,,,,,,,
Grid ref,NH076117,Long,-5.1827,Lat,57.155722,Elevation,730,ft,,,,,,,,,,,,,
Station no,5767,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,,18.05,16.46,23.71,13.84,20.03,14.54,,,,,
February,,,,,,,,,,,1.13,11.81,0.88,8.55,7.86,20.07,,,,,
March,,,,,,,,,,,6.62,1.21,4.86,4.84,6.26,7.94,,,,,
April,,,,,,,,,,,3.82,6.75,10.06,10.09,9.13,5.83,,,,,
May,,,,,,,,,,,7.27,10.43,3.74,3.48,8.64,2.31,,,,,
June,,,,,,,,,,,6.47,7.54,2.26,3.77,3.1,5.31,,,,,
July,,,,,,,,,,,3.43,7.42,7.76,6.24,6,6.84,,,,,
August,,,,,,,,,,,12.73,3.4,4.31,10.08,11.16,6.24,,,,,
September,,,,,,,,,,,6.69,2.55,11.68,1.83,14.26,15.85,,,,,
October,,,,,,,,,,,19.7,14.01,14.98,12.43,21.74,23.48,,,,,
November,,,,,,,,,,,13.96,9.9,15.19,4.86,5.55,9.32,,,,,
December,,,,,,,,,,,9.73,19.75,15.71,1.95,11.59,5.89,,,,,
Total,,,,,,,,,,,109.6,111.23,115.14,81.96,125.32,123.62,,,,,
,,,,,,,,,,,,,,,,,,,,,
Station no,5767,,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,,
