CLUANIE INN,,,,,,,,,,
Grid ref,NH076117,Long,-5.1827,Lat,57.155722,Elevation,730,ft,,
Station no,5767/1,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,8.42
February,,,,,,,,,,8.83
March,,,,,,,,,,2.13
April,,,,,,,,,,10.93
May,,,,,,,,,2.98,3.54
June,,,,,,,,,9.34,5.93
July,,,,,,,,,9.99,4.69
August,,,,,,,,,7.25,7.71
September,,,,,,,,,2.45,5.66
October,,,,,,,,,13.37,2.42
November,,,,,,,,,12.8,7.9
December,,,,,,,,,14.81,11.56
Total,,,,,,,,,,79.72
,,,,,,,,,,
Station no,5767/1,,,,,,,,,
Midas,69,,,,,,,,,
Hyd Stn,800778,,,,,,,,,
