HOVE-GOLDSTONE-CRESCENT (PARK),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ287062,Long,-0.17245,Lat,50.84139,Elevation,120,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,1.05,2.08,4.03,3.04,2.03,5.04,,3.37,2.56,2.56,2.35,3.68,0.96,4.24,5.78,4.37,5.97,3.23,3.84,3.33,6.65,2.31,1.99,2.62,3.03,,,
February,,,,4.04,0.05,3.07,3.09,3.04,1.06,,1.67,2.35,0.19,2.21,0.1,4.56,2.39,5.3,0.89,1.61,3.99,3.8,0.74,1.7,1.01,2.24,3.59,1.91,,,
March,,,,2.05,1.06,0.09,0.05,2.09,2.01,,1.68,0.56,1.43,2.58,3.24,0.63,1.57,3.45,0.63,1.69,3.1,2.78,3.78,0.48,0.16,1.46,1.52,7.07,,,
April,,,,3.06,2.07,3.06,3.07,2.07,3.06,,1.82,2.88,2.27,1.24,2.55,3.83,2.4,2.98,0.37,3.1,1.47,1.36,1.09,1.42,1.81,1.07,1.87,1.89,,,
May,,,,3.03,2.09,3.07,3.01,1.01,1.05,,2.11,2.74,3.26,2.48,0.51,1.13,0.76,2.55,3.55,1.11,2.01,1.91,2.96,2.34,0.41,2.2,2.9,1.3,,,
June,,,,0.06,3.06,0.01,3.07,3.03,2.09,,0.95,1.7,1.53,2.22,1.57,2.28,2.37,1.06,0.73,1.36,0.38,2.87,0.2,1.6,1.41,2.12,2.72,3.76,,,
July,,,,2.05,3.05,4.05,2.01,2.1,1.06,,2.7,3.52,3.52,1.61,1.79,0.45,4.19,1.83,1.76,4.37,2.68,4.13,2.13,2.39,2.38,4.16,1.54,1.5,,,
August,,,,2.07,3.02,2.09,2.01,4.07,2.06,,3.44,2.62,0.75,1.44,2.71,4.21,0.92,1.32,1.66,2.54,0.12,4.41,3.7,1.48,1.58,2,6.85,0.45,,,
September,,,,2.09,3.04,2.09,1.1,6.01,0.09,,2.77,2.21,2.94,3.49,1.86,7.03,2.93,2.24,3.06,0.82,2.29,0.39,2.67,1.73,2.29,2.04,3.52,2.55,,,
October,,,,6.03,5.08,4,2.07,2.02,7.02,,3.04,0.44,6.85,2.24,2.34,4.46,1.31,2.58,4.22,6.33,3.75,1.15,3.58,3.35,4.56,3.69,0.72,,,,
November,,,,2.01,3.05,3.04,6.07,3.05,4.02,9.43,5.79,4.19,1.72,1.21,4.65,7.63,5.55,1.9,3.72,7.35,8.07,4.21,1.53,2.37,5.13,0.27,5.03,,,,
December,,,,3.01,4.01,4.06,0.07,4.06,3.06,6.42,2.78,1.75,0.87,0.82,8.72,4.51,2.71,4.48,4.2,2.25,2.75,2.34,3.05,2.37,1.83,4.44,3.53,,,,
Total,,,,30.55,31.66,32.66,28.66,34.58,31.62,,32.12,27.52,27.89,23.89,33.72,41.68,31.34,35.47,29.16,38.5,33.84,33.19,28.76,27.88,24.88,27.68,36.41,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gauge moved end Oct 1947 400m N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
