HAFOD-Y-LLAN-ISAF-NO-1-GAUGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SH957530,Long,-3.5579184,Lat,53.064029,Elevation,1215,ft.,,,,,,,,,,,,,,,,,,,,,,,
Station no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,5.7,2.67,4.18,3.25,4.85,1.45,2.8,4.3,4.2,5.5,3.75,2.45,3.89,3.75,4.55,5.18,4.52,2.83,2.9,,,,,,
February,,,,,,,4.49,2.3,3.47,2.4,6.45,3.7,2.67,2.32,4.5,7.05,5.78,0.97,4.23,2.27,3.91,0.45,3.52,5.21,0.97,,,,,,
March,,,,,,,,2.7,4.38,3.2,2.05,,4.95,,4.8,1.03,2.52,2.92,1.45,5.25,5.18,3.11,3.11,1.24,1.1,,,,,,
April,,,,,,,,2,2.27,4,4.05,2.3,0.7,5.6,1.3,2.23,3.52,2.52,1.68,3.27,5.23,1.51,3.5,2,2.87,,,,,,
May,,,,,,,4.75,2.9,3.28,1.3,2.15,2.35,1.15,2.47,,2.22,4,2.7,3.84,0.95,2.57,1.33,0.66,4.47,4.52,,,,,,
June,,,,,,,2.19,4.58,2.27,2.3,3.55,3.98,3.97,2.9,4.5,0.62,2.25,2,2.34,2.03,2.41,0.16,2.42,0.92,1.61,,,,,,
July,,,,,,,0.9,2.17,4.78,3.5,4.15,1.42,3.35,1.55,5.72,3.75,1.7,1.59,3.52,1.51,6.11,1.21,4.18,2.23,3.52,,,,,,
August,,,,,,,3.69,3.08,4.47,2.6,4.25,5.12,6.6,2.3,2.22,3.4,2.67,8.05,2.18,3.56,2.95,4.5,2.33,3.52,3.35,,,,,,
September,,,,,,,1.37,0.77,3.28,6,0.4,,0.92,2.7,2.37,1.46,3.97,1.8,9.01,3.11,3.1,1.05,2.45,2.97,4.36,,,,,,
October,,,,,,,6.85,9.25,1.57,7.3,4.05,3.95,4.45,4.75,3.1,2.26,8.13,7,2.95,5.15,1.86,2.43,0.76,4.54,2.92,,,,,,
November,,,,,,,5.28,2.88,4.58,2.2,6.2,6.2,3.77,5,4.95,3.5,4.77,4.26,2.71,2.5,1.64,2.62,2.85,3.85,1.45,,,,,,
December,,,,,,,5.18,4.27,3.4,7,6,7.37,5.87,3.25,9.07,7.94,2.72,2.24,5.84,6.64,2.94,4.37,6.02,3.31,3.27,,,,,,
Total,,,,,,,,39.57,41.93,45.05,48.15,,42.25,,,40.96,45.78,38.5,43.64,39.99,42.45,27.92,36.32,37.09,32.84,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is Near the house Hafod Llan Isaf. The records suggest that the gauges are in a garden to a property and it has been assumed to be the one at this NGR. Stated altitudes do not match and vary for each gauge. NGR could be +/- 100m.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1920 annual total is shown in brackets but none of the monthly readings are. All readings left in the record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
