HAFOD-Y-LLAN-ISAF-NEW-GAUGE,,,,,,,,,,,,,,,,,,,,
Grid ref,SH957529,Long,-3.557886,Lat,53.06313,Elevation,1180,ft.,,,,,,,,,,,,
Station no,4300/1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,4.8,7.77,5.13,11.26,4.01,2.11,4.53,7.54,1.49,3.85,4.59,5.37,6.22,5.31,6.87,8.27
February,,,,,6.45,8.57,2.08,3.82,2.65,7.45,4.81,2.06,2.73,3.96,4.21,1.14,4.75,8.7,0.83,5.92
March,,,,,1.77,1.64,7.02,2.45,2.81,2.55,6.52,1.52,2.64,3.63,2.36,2.63,3.21,1.5,2.73,2.35
April,,,,1.56,3.13,1.23,5.42,2.68,4.84,5.47,4.09,2.58,4.37,1.2,1.87,2.61,0.97,1.44,6.45,2.56
May,,,,2.2,4.89,3.04,3.72,1.21,3.69,2.32,3.4,3.4,2.45,5.82,6.48,1.33,2.34,3.98,2.52,1.82
June,,,,2.79,4.43,5.01,2.91,6.34,0.71,1.81,1.68,2.18,3.62,3.58,3.95,2.62,1.12,4.4,2.35,1.58
July,,,,3.39,2.57,2.35,3.28,2.46,2.07,3.53,1.85,1.13,4.72,4.7,1.17,5.54,7.15,4.62,4.25,3.89
August,,,,2.85,2.25,6.67,0.54,4.79,3.06,6.52,7.17,4.63,4.3,5.84,1.61,8.25,10.05,3.74,1.35,3.85
September,,,,6.62,2.82,5.46,2.32,3.06,1.3,10.1,5.17,6.04,6,5.47,2.3,4.02,7.78,7.22,0.31,6.59
October,,,,7.04,6.76,1.52,0.61,3.03,8.12,4.54,2.13,7.62,2.32,9.7,4.25,3.88,5.01,4.53,6.46,5.7
November,,,,8.82,0.83,6.67,6.74,3.91,6.94,5.8,9.23,3.85,5.73,9.39,2.55,2.68,2.9,2.6,6.37,10.34
December,,,,6.23,5.81,5.86,3.99,6.99,8.15,5.41,8.54,5.45,1.82,5.53,5.93,4.58,4.31,3.86,9.99,5.84
Total,,,,,46.51,55.79,43.76,52,48.35,57.61,59.12,48,42.19,62.67,41.27,44.65,55.81,51.9,50.48,58.71
,,,,,,,,,,,,,,,,,,,,
NGR is from 1950s record and is near Hafod Ilan Isaf. Altitudes match,,,,,,,,,,,,,,,,,,,,
