ELVANFOOT (POTRENICK BURN),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS934101,Long,-3.683682,Lat,55.373272,Elevation,1018,ft,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,,
January,,,,,,7.4,11.3,9.35,15.45,1.45,13.35,7.2,15.4,8.1,10.3,3,8.65,8.3,11.3,,2,1,5.25,9.2,8.1,4.4,,8.03,9.3,8.1,,
February,,,,,,6,8.1,3.35,6.4,2.4,0.2,6.3,0.15,7.15,0,8,3.5,5.35,5,,2.54,3.75,1.9,6.4,3.2,8.1,,1,6.2,8.75,,
March,,,,,,3,4.15,5.3,8.3,0.45,2.25,2.9,5,4.2,4.1,3.45,4.15,1.25,7,,6.65,3.35,3.1,2.6,0.9,5.2,,5,6.25,,,
April,,,,,,9.15,4.1,5.1,2.2,2.2,2.35,4.65,6.15,3.25,5.5,5,2.15,3.3,0.09,,2.9,2.65,4.2,4.9,3.9,3,,10.5,4.6,,,
May,,,,,,8.45,4.35,4.15,1.3,7.15,3.45,3.45,3.15,3.45,5.85,1,1,3.25,6.1,,2.45,5.6,5.7,4.4,4.2,7.1,,4.4,1.99,,,
June,,,,,,1.1,5.3,6.25,7.1,3.15,4.05,6.4,1.15,2.45,2.5,6.35,2.65,5.15,8.09,,1.88,1.65,1.28,5.8,5,5.1,,4.5,6.85,,,
July,,,,,,3.4,5.25,6.15,4.4,5.15,5.2,8.2,8.15,7,3.6,4.1,4.3,6.35,7.05,,7.21,3.85,5.45,3.3,4.9,4.3,6.1,5.08,3.35,,,
August,,,,,,5.15,6.35,6.25,8.2,7.3,10.15,5.35,2.15,3.25,6.35,0.55,3.35,2,4.08,,3.15,7.88,7.6,8.2,4,2.5,4.04,0,8.02,,,
September,,,,,,4.25,5.25,9.3,5.3,2.15,5.4,2.25,6.3,3.25,5,5.4,4.4,6.15,4.07,,6.9,2.75,5.9,5,7.3,9.5,11.1,4.95,7.47,,,
October,,,,,,7.35,6.15,9.25,12.25,8.2,12.15,3.15,11.1,5.05,12,10,9.5,5.1,12.76,,5.86,6,8.2,13.3,6.7,6.9,1.1,2.69,7.92,,,
November,,,,,,,9.25,10.3,9.2,11.2,8.1,10.25,5.45,3,2.5,8.15,6.6,1.03,14.52,,7.22,6.75,2.4,4.2,9.4,1,11.7,8.5,5.1,,,
December,,,,,,,3.45,2.15,6.5,15,7.2,7.5,14.15,1.25,14.45,5,11.4,3.05,6.2,,9.32,4.2,8.9,4.2,7.5,5.2,6,3.9,10.69,,,
Total,,,,,,,73,76.9,86.6,65.8,73.85,67.6,78.3,51.4,72.15,60,61.65,50.28,86.26,,58.08,49.43,59.88,71.5,65.1,62.3,64.14,58.55,77.74,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1925 ND+T deleted Estd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939 Deleted estd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946 Jan-Jul Deleted estd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Gauge Feb 1949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
