BROADHEMPSTON-SNEYDHURST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX804660,Long,-3.68705,Lat,50.48204,Elevation,200,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,1697/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,5.07,0.52,7.65,8.01,6.33,7.22,3.09,5.76,5.52,10.08,3.86,3.11,6.03,4.66,8.4,0.74,1.3,5.21,4.14,0.9,1.96,6.37,4.76,5.04,5.05,6.75,4.85
February,,,,0.13,5.16,5.87,8.08,1.43,2.41,5.42,5.8,0.31,2.44,0.39,3.44,4.11,3.14,2.2,1.99,7.75,4.93,0.37,1.89,4.05,4.19,0.27,6.44,4.02,0.4,5.87
March,,,5.26,3.64,1.67,5.17,7.25,0.09,1.53,3.51,4.17,3.84,1.36,0.29,1.89,2.77,10.76,2.01,1.24,2.58,4.61,3.87,0.61,4.05,2.04,1.66,4.21,2.2,5.4,3.9
April,,,2.39,3.59,5.42,3.1,3.45,0.08,3.53,4.12,1.37,2.75,1.67,2.93,1.06,2.58,3.89,2.58,2.39,1.66,1.89,4.52,2.97,0.14,1.39,0.74,0.45,0.69,4.23,2.66
May,,,2.52,1.3,2.44,1.19,3.32,2.78,0.6,1.64,2.37,6.76,5.3,0.44,3.81,6.26,2.65,2.98,2.84,3.38,2.41,2.35,4.46,2.04,4.29,0.77,2.76,3.61,1.44,2.58
June,,,3.84,1.7,4.71,1.31,1.01,1.12,4.16,0.75,2.58,0.39,1.2,2.9,3.82,3.04,3.23,1.9,0.74,0.78,0.89,1.6,1.94,3.07,2.98,2.62,1.77,3.21,1.9,1.44
July,,,2.88,0.78,0.24,5.92,0.92,3.53,8.45,2.84,0.91,2.02,2.81,3.15,2.55,1.1,1.78,0.72,1.93,4.76,1.88,1.15,2.59,2.16,2.64,2.96,3.59,4.28,1.54,3.88
August,,,1.29,3.63,2.51,0.2,1.15,8.34,2.41,0.09,4.34,3.63,3.09,3.87,1.54,5.07,1.53,3.29,2.24,4.19,4.97,4.34,2.02,4.09,0.42,3.66,2.76,3.93,2.8,4.39
September,,,2.68,3.53,4.81,4.02,2.21,2.02,0.59,1.69,0.93,3.1,3.91,2.34,3.64,6.22,2.35,1.89,3.4,4.81,4.26,4.2,3.73,3.72,1.07,8.35,3.88,5.61,0.1,8.38
October,,,2.78,3.28,4.29,1.05,3.43,5.31,6.24,5.57,1.61,4.49,4.9,5.65,5.87,2.67,1.29,3.6,9.7,1.45,1.03,5.68,3.75,3.91,3.23,1.59,2.88,4.18,3.61,10.7
November,,,1.33,2.66,7.1,3.81,3.43,9.04,9.12,9.8,3.63,1.25,2.25,9,1.31,9.33,3.06,2.08,5.74,7.58,6.55,6.11,2.18,8.99,4.21,1.13,2.38,2.58,8.27,7.7
December,,,2.25,14.16,5.81,6.6,4.3,4.34,2.56,4.09,4.48,5.97,3.87,3.67,8.29,5.34,2.92,8.72,2.13,3.87,3.59,3.76,0.72,3.75,7.08,6.54,3.73,5.33,10.46,4.98
Total,,,,43.47,44.68,45.89,46.56,44.41,48.82,42.61,37.95,40.03,42.88,38.49,40.33,54.52,41.26,40.37,35.08,44.11,42.22,42.09,27.76,41.93,39.91,35.05,39.89,44.69,46.9,61.33
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933 Jan Feb estimated from surrounding sites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
An av 42.50ins based on 24yrs 3-4ins low Rejected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
