KINVER-PUMPING-STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO848833,Long,-2.2250688,Lat,52.447447,Elevation,152,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,2314/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,3.48,2.97,3.64,4.53,2.17,1.54,2.91,1.95,4.32,1.49,0.49,2.35,2.23,0.88,1,2.5,3.2,1.26,2.23,3.17,5.67
February,,,,,,,,,,2.49,2.3,0.85,1.27,1.37,1.55,1.96,1.39,1.68,0.66,4.45,2.35,0.51,1.35,2.24,1.49,0.43,2.54,4.55,0.24,1.96
March,,,,,,,,,,1.32,2.11,1.71,0.75,0.32,1.05,0.72,5.51,1.08,1.62,1.04,4.03,1.66,1.22,2.05,3.25,1.01,1.96,0.9,2.04,1.25
April,,,,,,,,,,2.42,1.32,1.39,0.95,1.35,0.99,2.3,2.2,2.37,2.14,2.03,2.05,2.08,2.54,0.52,1.36,1.93,0.05,0.39,2.73,0.84
May,,,,,,,,,,2.57,3.24,3.75,3.56,0.76,2.42,2.69,1.99,1.71,2.47,1.73,3.17,2.31,1.73,2.85,4.62,0.56,1.12,1.94,1.14,1.79
June,,,,,,,,,,0.54,1.22,0.25,1.49,1.44,2.68,2.86,1.52,2.97,0.25,1.46,1.12,1.71,1.57,3.02,2.68,1.77,1.92,3.9,1.07,2.03
July,,,,,,,,,,2.43,3.34,1.34,0.88,2.13,1.8,1.66,2.95,1.03,2.27,2.84,0.71,0.91,3.4,3.07,1.2,2.38,3.68,3.56,1.66,3.47
August,,,,,,,,,,0.19,3.28,2.38,1.72,2.26,2.23,6.65,1.41,5.09,1.01,2.57,3.86,3.24,2.58,4.75,1.29,3.79,3.11,3.82,0.98,4.16
September,,,,,,,,,,0.91,1.07,1.29,2.17,2.36,1.08,3.9,1.07,2.47,0.91,4.32,3.46,1.28,2.33,1.8,1.83,2.73,3.79,3.97,0.09,4.81
October,,,,,,,,,,3.5,2.53,2.16,1.72,3.28,2.79,1.02,0.41,2.18,4.48,0.82,0.75,4.14,2.02,2.79,1.69,1.79,1.76,2.08,2.52,5.8
November,,,,,,,,,,5.5,2.62,1.01,1.9,4.29,0.21,4.52,1.48,1.47,2.72,4.4,6.09,1.94,1.62,5.46,2.48,0.66,2.16,1.85,3.79,4.07
December,,,,,,,,,,1.41,1.35,3.25,1.12,1.72,3.09,2.71,2.06,4.23,1.36,1.95,2.18,2.39,1.23,2.12,2.59,2.78,1.56,2.51,4.51,3.37
Total,,,,,,,,,,26.76,27.35,23.02,22.06,23.45,21.43,33.9,23.94,30.6,21.38,28.1,32.12,24.4,22.47,31.67,26.98,23.03,24.91,31.7,23.94,39.22
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIDAS src_id 9990 KINVER Start 1940 end 1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is Kinver Pumping Station. Altitudes match. 1950s record has an NGR as SO848835, which is the other side as the river. The observer F J Dixon was the engineer responsible for water works in Kinver.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
