KINVER-GRAMMAR-SCHOOL,,,,,,,,,,,,,,,,,,,,
Grid ref,SO848831,Long,-2.2250596,Lat,52.445649,Elevation,180,ft.,,,,,,,,,,,,
Station no,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,3.97,2.06,1.97,0.57,0.46,2.16,3.41,2.79,2.12,3.34,2.96,,
February,,,,,,,,1.93,1.17,2.63,2.96,2.7,2.56,2.79,1.62,3.15,1.09,0.8,,
March,,,,,,,,2.46,0.93,0.63,1.27,1.59,1.22,1.13,2.6,1.15,2.93,1.42,,
April,,,,,,,,2.11,1.96,2.32,1.39,0.85,3.34,0.88,1.51,2.67,2.05,0.75,,
May,,,,,,,,2.35,5.71,2.67,1.87,1.21,2.15,1.4,1.01,2.58,5.98,1.78,,
June,,,,,,,,1.2,2.57,4.19,3.89,2.63,4.82,2.73,2.53,3.31,0.88,1.49,,
July,,,,,,,,2.94,0.45,4.47,6.09,1.32,3.63,2.66,2.52,0.31,2.43,0.84,,
August,,,,,,,,4.76,6.33,5.91,0.34,4.52,2.19,0.89,1.74,2.7,1.06,3.63,,
September,,,,,,,,2.02,3.76,3.09,3.26,1.63,2.58,4.86,2.06,3.71,3.07,2.22,,
October,,,,,,,,2.16,4.47,1.16,4.97,2.25,5.76,3,1.01,4.26,3.13,2.18,,
November,,,,,,,,2.71,2.83,0.91,2.01,3.41,4.09,3.98,1.59,3.21,1.98,1.82,,
December,,,,,,,,1.74,1.81,0.98,3.14,2.48,3.09,0.77,2.24,0.94,3.58,,,
Total,,,,,,,,30.35,34.05,30.93,31.76,25.05,37.59,28.5,23.22,30.11,31.52,,,
,,,,,,,,,,,,,,,,,,,,
NGR is what was Kinver Grammar School. Altitudes match.,,,,,,,,,,,,,,,,,,,,
