"NAIRN DELNIES",,,,,,,,,,,,
Grid ref,NH856556,Long,-3.914591,Lat,57.575923,,,,,,,
Station no,5689,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,2.92,1.31,1.30,,,,,,
February,,,,3.20,2.31,1.68,,,,,,
March,,,,2.62,0.50,3.11,,,,,,
April,,,,1.47,2.09,1.52,,,,,,
May,,,,1.47,1.61,1.61,,,,,,
June,,,,2.31,1.61,0.75,,,,,,
July,,,,3.33,0.55,1.92,,,,,,
August,,,,2.41,4.04,2.14,,,,,,
September,,,,1.78,1.64,1.41,,,,,,
October,,,,3.78,1.26,2.50,,,,,,
November,,,,2.77,1.56,3.73,,,,,,
December,,,,1.07,2.29,1.09,,,,,,
Total,,,,29.13,20.77,22.76,,,,,,
Calc annual,0.00,0.00,0.00,29.13,20.77,22.76,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,-0.00,0.00,0.00,NaN,NaN,NaN,NaN,,
