HENLEY-ON-THAMES-HENLEY-PARK,,,,,,,,,,,,,,,,,,,,
Grid ref,SU749854,Long,-0.92088009,Lat,51.562514,Elevation,410,ft,,,,,,,,,,,,
Station no,RR6473,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,,,,,2.6,3.44,1.08,1.38,2.32,2.98,0.51,4.59,,,
February,,,,,,,,,,2.34,3.44,1.2,1.41,1.03,3.08,0.62,2.16,,,
March,,,,,,,,,,0.66,0.72,1.75,1.87,3.49,1.09,4.52,1.31,,,
April,,,,,,,,,,1.69,1.34,2.67,1.4,2.21,1.43,1.94,0.51,,,
May,,,,,,,,,,1.06,1.44,0.63,2.07,3.94,3.06,1.06,3.28,,,
June,,,,,,,,,,1.78,1.3,1.59,2.84,5.76,0.8,4.08,2.21,,,
July,,,,,,,,,,1.65,1.29,1.94,0.74,3.05,2.06,0.74,0.26,,,
August,,,,,,,,,,1.5,3.1,2.17,3.27,3.31,2.03,2.86,0.94,,,
September,,,,,,,,,,1.32,0.7,1.62,0.75,2.07,1.74,1.43,0.45,,,
October,,,,,,,,,,2.4,1.75,1.8,1.44,6.34,1.33,1.37,4.39,,,
November,,,,,,,,,,2.27,2.05,0.54,2.15,2.41,1.96,3.23,3.08,,,
December,,,,,,,,,,1.04,3.62,2.03,1.39,2.16,2.48,1.15,2.82,,,
Total,,,,,,,,,,20.31,24.19,19.02,20.71,38.09,24.04,23.51,26,,,
