HENLEY-ON-THAMES HENLEY PARK,,,,,,,,,,,,
Grid ref,SU750854,Long,-0.919438,Lat,51.562501,,,,,,,
Station no,RR6473,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.44,1.08,1.38,2.32,2.98,0.51,4.59,,,,,
February,3.44,1.20,1.41,1.03,3.08,0.62,2.16,,,,,
March,0.72,1.75,1.87,3.49,1.09,4.52,1.31,,,,,
April,1.34,2.67,1.40,2.21,1.43,1.94,0.51,,,,,
May,1.44,0.63,2.07,3.94,3.06,1.06,3.28,,,,,
June,1.30,1.59,2.84,5.76,0.80,4.08,2.21,,,,,
July,1.29,1.94,0.74,3.05,2.06,0.74,0.26,,,,,
August,3.10,2.17,3.27,3.31,2.03,2.86,0.94,,,,,
September,0.70,1.62,0.75,2.07,1.74,1.43,0.45,,,,,
October,1.75,1.80,1.44,6.34,1.33,1.37,4.39,,,,,
November,2.05,0.54,2.15,2.41,1.96,3.23,3.08,,,,,
December,3.62,2.03,1.39,2.16,2.48,1.15,2.82,,,,,
Total,24.19,19.02,20.71,38.09,24.04,23.51,26.00,,,,,
Calc annual,24.19,19.02,20.71,38.09,24.04,23.51,26.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,NaN,NaN,NaN,,
