DALRY (BLAIRPARK),,,,,,,,,,
Grid ref,NS246574,Long,-4.798235,Lat,55.778017,Elevation,710,ft,,
Station no,5250/4,,,,,,,,,
,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,10.1,9.1,5.85,5.8,5.3,,
February,,,,6.45,8.75,8.05,2.3,4.1,,
March,,,,2.3,4.9,4.8,5.8,3.25,,
April,,,,3.3,1.95,4.7,2.5,4.1,,
May,,,,4.4,6.05,4.1,4.4,2.9,,
June,,,,3.8,1.35,2.2,2.4,2.1,,
July,,,,4.8,6.1,4.1,5,5.05,,
August,,,,7.5,4.9,4.7,3.5,4.8,,
September,,,,5.5,4.6,5.1,7.5,6.3,,
October,,,,7.35,7.7,5.9,5.8,2.8,,
November,,,,9.3,5.75,4.05,7,6.3,,
December,,,,7,8.45,4.7,6,5.9,,
Total,,,,71.8,69.6,58.25,58,52.9,,
