DALRY (BLAIRPARK),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS246574,Long,-4.798235,Lat,55.778017,Elevation,722,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5250/4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,7,6.45,1.35,10.5,7.35,7.04,4.7,9.1,8.9,11.62,7.3,5.35,6.25,8.1,4.1,6.95,4.25,5.05,7.15,8.85,2.75,5.65
February,,,,,,,,,10,3.05,5.9,2.8,7.3,3.3,9.2,5.15,1.2,6.2,5.65,5.55,4.1,3.55,3.85,7.45,4,1.3,5.65,6.35,3.05,7.25
March,,,,,,,,,6.2,6.75,3.3,4.48,2.45,1.95,4.15,3.7,5.5,5.25,5.5,4.4,4.85,5.55,1.5,4.75,2.1,3.75,7.35,2.4,5.2,3.15
April,,,,,,,,,4.25,3.8,2.95,3.7,5.05,4.15,3.45,3.5,7.8,5.55,8.85,4.55,3.25,2.75,3.85,3.5,6.72,1.5,3.1,2.5,4.4,7.75
May,,,,,,,,,1.6,1.35,3.9,4.2,4.3,5.1,5,1.25,6.1,3.3,2.95,1.7,2.55,2,3.95,4.35,5.45,3.75,2.85,5.4,2.8,3.55
June,,,,,,,,,3.55,1.5,2.65,2.9,5.35,5,5.1,4.75,6.1,6.95,1.35,2.95,2.65,5.1,1.85,5.45,5.35,4.7,3.15,3.1,4.2,4.8
July,,,,,,,,,8.2,3.7,4.75,6.5,3.7,6.2,4.35,5.9,4.8,5.95,2.8,7.45,6.2,6.1,6.35,6,1.25,7.8,7.85,5.9,7.4,6.9
August,,,,,,,,,1.9,3.3,6.7,9.65,9.95,4.4,3.2,4.05,0.1,10.25,7.45,7.25,6.1,6.55,5.85,7.3,1.58,7.25,6.04,6,1.85,4.8
September,,,,,,,,,4.85,6.4,3,8.3,5.05,7.45,7.8,11.3,6.55,10.35,3.7,13.7,6.65,4.35,7.75,9.1,5.55,6.75,4.9,5.7,2.3,4.7
October,,,,,,,,,3.7,7.1,6.75,9.4,12.25,9.5,12.3,0.6,3.4,11.25,10.15,6.25,2.35,8.45,4.6,12.35,4.65,3.1,7.55,5.75,8.41,3.65
November,,,,,,,,,10.85,10.6,5.55,1.35,4.45,8.5,1,11.15,8.1,4.75,8.75,4.35,8.65,3.55,11.55,10.25,4,3.35,3.9,3.75,6.44,10
December,,,,,,,,,5.9,10.35,3.85,10.4,4.06,7.6,6.65,7.75,4.2,9.2,10.9,2.95,10.55,7.5,6.95,8.45,9.55,7.85,6.9,9.2,13,9.35
Total,,,,,,,,,68,64.35,50.65,74.18,71.26,70.19,66.9,68.2,62.75,90.62,75.35,66.45,64.15,63.55,62.15,85.9,54.45,56.15,66.39,64.9,61.8,71.55
