WITHYPOOL-NEWLANDS,,,,,,,,,,,,,,,,,,,,
Grid ref,SS842356,Long,-3.65544,Lat,51.10842,Elevation,940,ft,,,,,,,,,,,,
Station no,2115/2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,,,5.72,7.03,9.7,6.83,5.12,7.18,,,,
February,,,,,,,,,,,6.9,0.57,5.21,2.13,7.79,8.45,,,,
March,,,,,,,,,,,7.77,3.97,1.58,0.68,2.33,2.14,,,,
April,,,,,,,,,,4.04,2.02,2.83,1.78,3.06,1.83,3.79,,,,
May,,,,,,,,,,1.51,3.08,6.68,4.59,2.43,4.82,4.55,,,,
June,,,,,,,,,,0.86,1.6,0.56,2.78,5.01,5.34,5.69,,,,
July,,,,,,,,,,5.71,2.6,4.06,4.81,3.73,3.57,3.74,,,,
August,,,,,,,,,,0.61,7.76,5.25,5.07,6.46,3.37,7.29,,,,
September,,,,,,,,,,3.31,0.76,4.82,6.57,5.6,4.6,7.56,,,,
October,,,,,,,,,,7.15,5.14,6.45,4.01,9.93,7.13,2.14,,,,
November,,,,,,,,,,14.26,3.69,1.86,5.63,12,1.16,10.11,,,,
December,,,,,,,,,,5.83,6.12,8.93,3.84,7.36,7.54,7.18,,,,
Total,,,,,,,,,,,53.16,53.01,55.57,65.22,54.6,69.82,,,,
,,,,,,,,,,,,,,,,,,,,
Newland House 500yds E of Newland Farm which is marked on maps,,,,,,,,,,,,,,,,,,,,
1949 Oct station terminated after no returns since 1946,,,,,,,,,,,,,,,,,,,,
