WEST-END-OAKLANDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU473160,Long,-1.32804,Lat,50.94206,Elevation,45,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,3.49,5.17,1.63,2.77,4.01,5.27,2.42,5.56,1.59,5.01,2.23,3.29,2.36,2.53,0.82,6.19,7.3,3.99,5.94,3.29,3.6,4.1,6,2.41,2.13,2.89,3.21,5.73,2.22,0.81
February,,0.33,3.45,6.09,0.44,4.96,2.13,4.49,2.4,1.24,1.46,2.38,0.1,3.99,0.08,3.78,3.17,5.64,0.58,1.38,3.72,3.13,0.51,1.14,0.58,2.4,2.93,1.52,1.15,1.49,5.24
March,,1.16,2.3,1.67,1.5,0.46,0.65,3.79,3.5,0.12,1.48,0.86,1.64,3.75,3.21,0.95,2.51,3.88,0.34,1.16,3.3,4.2,3.13,0.67,0.21,0.78,0.9,7,0.95,1.7,1.76
April,,1.27,3.53,2.91,3.24,3.05,2.94,1.84,1.73,1.01,2.63,2.96,3.15,1.12,2.25,3.41,2.29,2.36,0.02,2.24,1.38,1.77,2.13,0.86,1.66,1.28,2.58,2.12,1.94,1.71,2.01
May,,1.41,0.76,1.67,3.79,3.27,1.63,0.75,1.11,1.89,2.05,2.88,5.79,2.17,0.98,1.29,0.22,3.05,2.53,1.18,0.44,1.73,2.87,3.08,0.52,2.13,4.48,1.28,3.06,3.25,1.41
June,,0.08,1.57,0.29,2.79,0.33,2.75,2.36,2.12,1.46,0.44,2.66,1.95,1.93,1.57,4.73,4.06,1.82,0.68,2,0.21,1.63,0.45,1.14,2.11,2.98,4.12,1.5,3.33,0.43,1.81
July,,0.47,4.31,1.48,3.94,3.14,1.64,3.03,1.75,2.12,2.32,3.23,3.21,1.84,0.69,2.05,4.17,1.22,2.89,4.36,3.44,2.59,1.78,2.34,2.55,2.46,1.46,0.84,1.04,0.93,4.5
August,,2.16,3.47,2.23,2.7,3.9,1.08,4.72,2.52,1.72,4.73,5.67,1.34,0.77,3.27,2.75,0.35,1.75,1.77,2.38,0.06,3.8,3.2,1.5,2.26,1.71,4.21,0.94,4.14,1.08,3.49
September,,0.87,1.75,1.62,5.59,2.76,0.52,6.89,1.31,0.31,3.3,1.87,3.21,3.6,2.38,4.4,3.99,2.2,1.47,1.2,1.51,1.99,2.52,1.59,1.84,2.09,4.23,1.55,3.03,2.28,3.94
October,,0.85,1.29,5.66,4.22,3.79,2.46,1.99,7.11,4.61,2.16,0.7,6.21,1.78,1.77,5.39,1.36,3.53,4.07,6.05,4.69,1.16,4.12,4.16,4.5,3.44,1.07,1.35,2.12,8.57,0.57
November,,2.28,2.23,1.62,2.65,3.08,6.92,3.34,3.11,9.18,5.32,4.21,1.97,0.67,2.62,8.03,3.79,2.97,5.51,6.23,8.72,2.76,1.89,1.75,5.74,0.43,5.7,1.38,2.12,4.31,7.05
December,,1.63,5.41,3.22,5.86,3.45,0.35,3.93,3.24,7.57,4.43,0.68,1.61,0.72,9.05,4.03,3.19,4.65,4.4,1.97,2.45,2.16,4,2.11,3.04,4.6,3.95,3.1,3.24,1.89,2
Total,,16,35.24,30.09,39.49,36.2,28.34,39.55,35.46,32.82,35.33,30.33,33.47,24.7,30.4,41.63,35.29,40.37,28.25,36.09,33.21,30.52,30.7,26.34,27.42,26.43,38.52,25.79,31.85,29.86,34.59
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gauge from Pembroke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921 Gauge in centre of large lawn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is centre of lawn but elevation nearer 60ft',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1929 Nothing within 40ft of gauge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950 Station terminated at end of year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
