ELGIN (LESMURDIE),,,,,,,,,,,,
Grid ref,NJ226636,Long,-3.298683,Lat,57.655624,,,,,,,
Station no,5679/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.54,2.46,1.73,1.81,1.07,3.19,2.78,3.72,3.62,3.19,,
February,2.72,1.51,1.50,1.09,2.07,2.04,1.11,3.14,0.39,2.75,,
March,2.16,2.09,0.76,1.17,1.51,0.81,2.93,1.56,1.11,1.39,,
April,3.19,0.81,2.49,0.76,1.21,2.03,0.77,1.49,2.13,1.89,,
May,0.86,1.55,2.12,5.09,3.08,1.06,1.07,2.82,0.70,0.47,,
June,1.98,2.03,2.85,2.61,1.83,2.88,2.51,2.15,1.70,2.52,,
July,4.61,2.56,3.54,3.13,0.92,5.99,4.92,4.85,2.37,2.54,,
August,3.80,2.65,2.47,2.21,1.72,3.81,4.54,4.09,1.40,7.25,,
September,0.56,3.53,2.82,1.75,1.77,2.49,1.72,1.27,0.95,2.11,,
October,1.02,1.65,0.50,5.21,-999.00,3.05,1.65,1.90,3.48,3.61,,
November,4.23,3.10,2.00,2.34,0.86,1.99,2.62,1.18,2.53,1.75,,
December,2.46,1.87,2.90,4.52,4.78,2.81,3.45,2.09,1.38,0.98,,
Total,30.13,25.81,25.68,31.69,25.57,32.15,30.07,30.26,21.76,30.45,,
Calc annual,30.13,25.81,25.68,31.69,20.82,32.15,30.07,30.26,21.76,30.45,,
Difference,0.00,-0.00,0.00,0.00,4.75,0.00,0.00,0.00,0.00,0.00,,
