ELGIN (LESMURDIE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NJ226636,Long,-3.298683,Lat,57.655624,Elevation,114,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5679/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,1.26,1.74,3.11,2.33,2,3.76,0.98,2.02,2.72,1.3,2.75,3.81,0.37,1.37,1.77,2.65,1.88,2.54,2.46,1.73,1.81,1.07,3.19,2.78,3.72,3.62,3.19
February,,,,0.75,1.79,1,2.31,1.39,1.15,0.67,3.14,1.78,1.86,1.75,1.33,2.45,0.76,1.28,1.4,2.05,2.72,1.51,1.5,1.09,2.07,2.04,1.11,3.14,0.39,2.75
March,,,,1.51,1.66,0.62,1.95,0.92,1.94,3.04,2.11,0.73,1.19,1.59,0.63,1.07,2.01,0.71,2.51,1.97,2.16,2.09,0.76,1.17,1.51,0.81,2.93,1.56,1.11,1.39
April,,,,2.93,2.15,0.91,0.49,0.32,1.3,1.55,1.36,0.66,1.61,1.37,0.86,1.22,1.3,1.88,1.48,3.28,3.19,0.81,2.49,0.76,1.21,2.03,0.77,1.49,2.13,1.89
May,,,,2,1.64,0.91,1.94,2.53,0.66,1.49,2.62,1.93,3.3,2,3.07,1.78,1.39,1.52,2.6,1.22,0.86,1.55,2.12,5.09,3.08,1.06,1.07,2.82,0.7,0.47
June,,,,1.57,2.34,1.22,2.5,3.99,1.5,1.04,0.37,1.16,1.68,2.77,2.02,1.87,3.99,4.22,1.12,1.88,1.98,2.03,2.85,2.61,1.83,2.88,2.51,2.15,1.7,2.52
July,,,,4.16,2.15,4.72,2.9,3.67,4.95,8.49,3.88,3.32,,1.61,3.06,5.57,2.13,2.82,1.91,1.7,4.61,2.56,3.54,3.13,0.92,5.99,4.92,4.85,2.37,2.54
August,,,,2.68,2.56,3,2.29,1.66,1.49,1.76,5.24,2.71,,1.52,4.91,3.07,0.44,5.8,5.4,2.27,3.8,2.65,2.47,2.21,1.72,3.81,4.54,4.09,1.4,7.25
September,,,,1.28,3.38,2.56,1.04,3.96,1.56,2.15,1.15,2.88,,4.14,2.18,2.8,3.45,2.36,2.57,5.13,0.56,3.53,2.82,1.75,1.77,2.49,1.72,1.27,0.95,2.11
October,,,,3.18,3.92,2.46,2.35,2.91,3.15,2.7,4.53,5.09,2.32,2.4,4.63,0.33,1.37,3.03,1.99,0.83,1.02,1.65,,5.21,4.75,3.05,1.65,1.9,3.48,3.61
November,,,,1.38,2.51,1.23,1.46,2.15,2.26,5.26,2.46,1.24,2.57,2.46,0.53,2.81,4.22,1.71,2.48,4,4.23,3.1,,2.34,0.86,1.99,2.62,1.18,2.53,1.75
December,,,,1.21,2.17,1.41,2.42,0.97,2.53,2.48,1.33,2.05,0.52,2.73,3.96,1.55,1.99,1.86,4.49,2.42,2.46,1.87,,4.52,4.78,2.81,3.45,2.09,1.38,0.98
Total,,,,23.91,28.01,23.15,23.98,26.47,26.25,31.61,30.21,26.27,,27.09,30.99,24.89,24.42,28.96,30.6,28.63,30.13,25.81,,31.69,25.57,32.15,30.07,30.26,21.76,30.45
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943 Gauge Move,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943 Jul aA Sep +T Estd deleted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1953 OND +T Estd deleted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955 Oct Estd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5679/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,14755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,812407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
