CHORLEY WOOD (PUMPING STATION),,,,,,,,,,,,
Grid ref,TQ037977,Long,-0.501904,Lat,51.668516,,,,,,,
Station no,913/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,3.08,3.46,2.55,,
February,,,,,,,,2.42,0.04,2.27,,
March,,,,,,,,1.62,2.58,1.39,,
April,,,,,,,,1.63,2.39,0.67,,
May,,,,,,,,2.78,0.55,1.89,,
June,,,,,,,,3.53,1.23,2.35,,
July,,,,,,,,3.20,3.34,3.09,,
August,,,,,,,,2.94,1.81,4.37,,
September,,,,,,,,5.82,0.05,4.58,,
October,,,,,,,,2.96,2.87,6.53,,
November,,,,,,,,2.61,2.23,4.82,,
December,,,,,,,,3.43,4.80,3.52,,
Total,,,,,,,,36.02,25.35,38.03,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.02,25.35,38.03,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,0.00,,
