FETTERCAIRN MIX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NO 649 735,Long,-2.576509,Lat,56.851266,Elevation,241,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886
January,,,,,,,2.8,3.4,0.9,1.8,4.1,,,3.5,2.3,4.1,3.1,4.8,4.4,5.4,2,1.1,4.8,3.45,2.3,5.97,1.34,7.35,1.85,2.6,1.08,1.42,1.38,4.3,3.87,2.39,2.7
February,,,,,,,2.55,0.2,0.9,1.3,3.5,,,1,4.2,5.1,2.4,1.1,2.8,2.7,5.4,2.9,9.1,1.9,1.38,2.25,4.45,2.65,1.34,4.25,3.1,3.73,1.32,5.43,2.65,3.45,2.55
March,,,,,,,0.11,3.9,1.6,2.4,2.2,,,1,2.1,1.8,3.8,4.1,1.6,1.3,0.6,0.6,1.4,2.2,1.68,1.33,3.45,1.45,1.5,2.75,1.1,5.66,3.56,4.5,4.2,1.65,5
April,,,,,,,3.7,3.6,0.8,1.7,1.5,,,1.8,1.2,0.5,1.5,4.3,3.9,1.5,0.5,5.8,4.3,0.6,1.04,1.43,3.35,3.6,1.8,1.05,2.25,1.38,4.9,1.68,1.41,2.83,0.87
May,,,,,,,1.35,1.4,1.3,0.3,1,,,1.8,2.2,2,0.9,3.7,2.2,1,3.7,0.9,3.1,2.2,2.27,1.62,0.68,2.4,2.78,1.9,0.77,2.53,1.88,1.62,1.48,3.95,3.77
June,,,,,,,1.4,1.8,1.3,1.5,6.3,,,3.4,1.5,0.2,1.6,1.2,0.6,3,1,2.1,5.5,0.9,0.71,3.24,2.56,3.73,3.48,3.6,1.9,2.95,4.25,2.05,0.46,1.08,1.05
July,,,,,,,1.4,1,3.8,2.1,3,,,1.1,1,2.2,1.8,5,0.2,0.75,2,4.1,2.9,6.8,2.79,2.78,1.17,3,0.68,4.8,5.37,2.65,3.92,6.5,4.44,0.98,4.85
August,,,,,,,2.2,1.1,1.8,1.8,4.3,,,3,0.4,3.5,3.3,3.4,4.3,1.1,1.1,2.3,2.8,2.9,7.2,3.95,1.9,6.69,3.72,4.5,0.8,2.75,3.3,5.45,1.75,2.5,1.32
September,,,,,,,3.8,4.6,2.3,2.4,,,,2.4,3.7,0.4,3.5,2.6,4.6,4.5,2.8,1.9,4.4,5.2,2.18,5.17,3.68,2.95,2.5,2.58,2.86,4.25,3.5,3.48,2.1,4.33,1.66
October,,,,,,,1,1.2,3.2,6.3,,,,3.7,6.3,6.5,3,3.8,2.5,4.5,5,5.5,4.7,4.1,2.94,6.8,4.45,3.87,4.28,0.95,3.12,5.95,5.2,1.75,3.63,2.69,4.81
November,,,,,,,1.1,3.1,3.1,3.5,,,,2.2,4.5,3.5,2.5,0.4,2.2,1.1,4.1,2.8,7.4,3.6,3.4,3.24,6.6,4.9,3.65,2.02,3.4,4.05,5.12,2.11,2.13,3.12,2.13
December,,,,,,,1.9,1.4,4.2,3.2,,,,1.8,5.7,2.6,3.2,2.9,8.5,3.2,4.3,1.9,7.3,1.8,3.1,3.5,9.8,2.75,3.1,1.4,1.68,2.63,6.18,2.15,2.25,0.87,2.97
Total,,,,,,,23.31,26.7,25.2,28.3,,,,26.7,35.1,32.4,30.6,37.3,37.8,30.05,32.5,31.9,57.7,35.65,30.99,41.28,43.43,45.34,30.68,32.4,27.43,39.95,44.51,41.02,30.37,29.84,33.68
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
