"FETTERCAIRN MANSE",,,,,,,,,,,,
Grid ref,NO651734,Long,-2.573824,Lat,56.850720,,,,,,,
Station no,RR318,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.34,2.97,1.00,3.72,1.67,0.53,2.52,0.82,2.69,1.53,,
February,4.25,2.09,1.91,3.16,4.85,1.61,2.26,2.25,1.07,0.54,,
March,2.90,1.87,1.12,3.20,2.03,4.07,1.48,1.68,4.50,7.13,,
April,2.37,2.86,2.57,1.86,1.63,3.19,1.38,2.39,1.43,3.25,,
May,2.31,1.64,3.03,1.57,2.49,1.58,2.35,6.51,1.34,2.06,,
June,3.01,1.70,2.05,2.34,0.66,0.51,0.55,4.92,1.18,1.88,,
July,4.26,1.11,2.94,5.14,1.41,1.75,1.90,2.05,2.80,5.02,,
August,3.95,3.35,2.40,3.96,4.61,3.60,4.38,3.00,3.51,1.84,,
September,2.96,1.92,1.96,3.54,3.38,1.71,1.09,1.31,3.91,0.97,,
October,3.04,2.51,1.40,6.42,1.14,2.63,6.73,4.16,4.24,2.24,,
November,4.76,1.73,5.23,1.18,1.30,6.35,4.83,2.23,2.22,1.12,,
December,4.61,4.17,4.87,4.19,2.91,1.40,3.73,3.97,4.66,4.73,,
Total,42.76,27.92,30.48,40.28,28.08,28.93,33.20,35.29,33.55,32.31,,
Calc annual,42.76,27.92,30.48,40.28,28.08,28.93,33.20,35.29,33.55,32.31,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
