"FETTERCAIRN, POLICE STATION",,,,,,,,,,,,,,,,,,,,,
Grid ref,NO 649 735,Long,-2.57693,Lat,56.851388,Elevation,235,ft,,,,,,,,,,,,,
Station no,RR318,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,5.16,5.41,1.82,3.41,1.9,2.78,2.98,4.16,2.61,2.06,5.17,2.66,4.18,,,,,,
February,,,3.85,1.11,3.34,6.33,3.21,1.31,3.12,2.06,1.73,0.57,4.01,9.31,1.47,,,,,,
March,,,2.09,5.26,4.31,1.89,3.33,3.01,2,2.48,2.61,2.17,2.42,1.87,0.87,,,,,,
April,,,0.37,3.26,0.65,0.96,2.4,1.3,0.61,3.57,2.67,0.97,2.43,3.4,2.61,,,,,,
May,,,1.44,5.2,2.77,0.91,3.36,2.31,3.3,1.13,3.72,2.01,0.84,4.53,5.01,,,,,,
June,,,2.31,2.45,0.83,0.53,2.77,1.37,1.3,0.93,0.95,0.79,1.8,0.61,1.3,,,,,,
July,,,2.07,0.69,2.52,4.14,6.7,1.11,5.8,0.72,2.94,1.94,3.16,1.37,4.71,,,,,,
August,,,4.93,1.53,1.77,2.2,3.89,5.72,2.06,3.2,4.04,1.98,2.17,4.64,3.88,,,,,,
September,,,3.21,4.09,1.07,1.93,1.23,3.14,3.89,1.87,1.89,1.25,3.66,2.95,4.37,,,,,,
October,,,4.81,2.02,3.53,5,5.91,3.72,2.51,3.08,4.6,1.39,1.51,3.44,4.8,,,,,,
November,,,3.02,1.59,3.91,3.45,5.31,3.01,2.54,4.77,2.6,3.27,2.2,2.8,2.5,,,,,,
December,,,2.86,1.56,6.83,8.65,5.64,0.86,2.56,6.66,4.3,1.38,2.17,4.01,4,,,,,,
Total,,,36.12,34.17,33.35,39.4,45.65,29.64,32.67,34.63,34.66,19.78,31.54,41.59,39.7,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
