"FETTERCAIRN, SCHOOL HOUSE",,,,,,,,,,,,
Grid ref,NO 649 736,Long,-2.575793,Lat,56.852515,Elevation,230,ft,,,,
Station no,RR318,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911
January,,,,,,,,,,,2.36,1.62
February,,,,,,,,,,,3.1,1.01
March,,,,,,,,,,,1.53,2.52
April,,,,,,,,,,,2.85,1.88
May,,,,,,,,,,,2.24,1.55
June,,,,,,,,,,,1.73,2.21
July,,,,,,,,,,,2.61,2.71
August,,,,,,,,,,,7.82,1.32
September,,,,,,,,,,,1.1,1.43
October,,,,,,,,,,,2.58,2.74
November,,,,,,,,,,,4.29,4.16
December,,,,,,,,,,4.73,3.89,7.57
Total,,,,,,,,,,,36.1,30.72
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
