FETTERCAIRN MANSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NO651734,Long,-2.573824,Lat,56.85072,Elevation,230,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,,,2.62,3.35,1.38,3.24,1.73,2.34,2.2,3.08,3.54,0.9,1.11,0.8,4.6,4.34,2.97,1,3.72,1.67,0.53,2.52,0.82,2.69,1.53
February,,,,,,,,1.41,1.3,2.65,1.74,0.24,2.75,3.53,5.04,0.72,1.1,1.13,1.91,3.03,4.25,2.09,1.91,3.16,4.85,1.61,2.26,2.25,1.07,0.54
March,,,,,,,,1.65,3,1.79,2.28,1.82,1.33,0.42,0.82,3.33,2,4.69,1.34,3.6,2.9,1.87,1.12,3.2,2.03,4.07,1.48,1.68,4.5,7.13
April,,,,,,,,1.74,1.86,5.47,0.57,0.7,1.32,0.75,1.37,1.12,1.3,1.79,8.31,3.5,2.37,2.86,2.57,1.86,1.63,3.19,1.38,2.39,1.43,3.25
May,,,,,,,,0.6,1.54,0.89,2.55,1.09,3.5,1.82,4.48,0.61,1.2,1.78,2.21,3.53,2.31,1.64,3.03,1.57,2.49,1.58,2.35,6.51,1.34,2.06
June,,,,,,,,0.65,2,1.48,2.24,0.45,2.94,3.04,2.11,2.1,2.1,3.81,0.99,2.63,3.01,1.7,2.05,2.34,0.66,0.51,0.55,4.92,1.18,1.88
July,,,,,,,,1.72,2.59,2.75,2.72,3.13,2.47,2.44,2.94,4.75,3.6,1.55,0.81,2.5,4.26,1.11,2.94,5.14,1.41,1.75,1.9,2.05,2.8,5.02
August,,,,,,,,2.37,1.55,7.03,3.33,4.87,3.13,3.21,5.53,4.3,1.7,3.84,2.98,1.24,3.95,3.35,2.4,3.96,4.61,3.6,4.38,3,3.51,1.84
September,,,,,,,,2.37,1.05,0.48,1.23,6.97,2.35,3.02,0.31,1.15,3.8,2.26,1.54,3.57,2.96,1.92,1.96,3.54,3.38,1.71,1.09,1.31,3.91,0.97
October,,,,,,,,1.54,1.56,3.04,2.32,3.1,5.34,2.18,3.94,2.7,3.5,2.26,4.19,0.94,3.04,2.51,1.4,6.42,1.14,2.63,6.73,4.16,4.24,2.24
November,,,,,,,,3.66,5.78,0.48,4.48,4.31,3.04,3.45,1.54,4.95,1.2,2.33,5.65,2.39,4.76,1.73,5.23,1.18,1.3,6.35,4.83,2.23,2.22,1.12
December,,,,,,,,2.55,3.06,1.48,2.13,2.18,0.72,1.98,2.64,3.9,7.1,4.24,2.24,2.86,4.61,4.17,4.87,4.19,2.91,1.4,3.73,3.97,4.66,
Total,,,,,,,,22.88,28.64,28.92,28.83,30.59,31.23,28.04,33.8,33.17,29.5,30.79,32.97,34.39,42.76,27.92,30.48,40.28,28.08,28.93,33.2,35.29,33.55,
