DOLGELLY-BRITHDIR-SECOND-GAUGE,,,,,,,,,,,,,,,,,,,,
Grid ref,SH762184,Long,-3.8355719,Lat,52.748995,Elevation,474,ft.,,,,,,,,,,,,
Station no,RR2358,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,2.1,,3.1,2.01,1.57,1.12,5.1,,,,,,,
February,,,,,,,3.95,,2.06,6.29,4.73,6.25,5.6,,,,,,,
March,,,,,,,2.98,,2.7,3.65,2.55,3.3,2.2,,,,,,,
April,,,,,,,3.25,4.9,2.01,1.38,1.9,2.09,6.94,,,,,,,
May,,,,,,,0.84,5,7.1,2.2,1.96,3.9,3.4,,,,,,,
June,,,,,,,2.2,4.1,5.7,8,5.04,5.5,7.04,,,,,,,
July,,,,,,,3.67,4.81,1.1,6.01,8.35,3.45,8.52,,,,,,,
August,,,,,,,4.93,7.84,4.47,9.3,2.63,5.8,6.3,,,,,,,
September,,,,,,,6,3.85,2.93,5.11,3.1,1.51,4.6,,,,,,,
October,,,,,,,5.55,7.95,3.55,2.6,3.59,2,6.84,,,,,,,
November,,,,,,,4.55,9.5,3.2,0.37,7.01,8.84,8.87,,,,,,,
December,,,,,,,9.8,4.05,2.87,4.43,9.06,5,6.33,,,,,,,
Total,,,,,,,49.82,,40.79,51.35,51.49,48.76,71.74,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,
NGR is Werngoch Brithdir where the observer Mr John Hill lived. Altitudes match,,,,,,,,,,,,,,,,,,,,
This is a second gauge at this location and based on the quoted altitudes it looks like the Main gauge continued throughout but it is possible that the two gauges just overlapped in that period and the Second gauge continued,,,,,,,,,,,,,,,,,,,,
