COCKERMOUTH DERWENT HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY118309,Long,-3.368,Lat,54.6661,Elevation,144,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,7.16,8.48,5.04,4.79,2.52,8.53,4.44,1.48,1.34,0.81,3.91,,6.57,2.77,3.93,3.53,1.73,3.19,5.86,2.41,1.57,,,,,,,
February,,,3.25,0.65,3.03,1.35,4.07,3.91,2.7,2.09,4.11,3.15,3.87,,4.91,5.98,1.27,2.6,0.6,2.3,0.8,0.26,0.79,,,,,,,
March,,,3.34,3.16,3.1,1.33,3.66,2.36,2.16,3.42,1.82,3.93,4.29,,4.21,4.17,4.22,1.29,2.97,2.8,2.63,1.88,0.4,,,,,,,
April,,,1.35,0.45,1.51,1.51,2.58,2.21,1.86,1.3,2.89,1.51,3.52,,1.63,2.86,3.11,3.02,2,1.97,1.27,1.18,0.56,,,,,,,
May,,,2.81,1.83,1.28,2.53,0.72,3.16,2.13,2.39,1.67,3.36,2.93,,3.09,2.64,5.01,2.17,1.86,2.7,2.34,1.73,1.73,,,,,,,
June,,,4.44,2.92,1.2,3.61,3.86,3.74,2.39,3.38,2.72,4.54,,,1.36,1.52,1.08,0.65,0.7,0.84,4.18,1.15,1.38,,,,,,,
July,,,3.8,4.42,2.65,3.11,2.77,4.92,0.67,5.84,4.46,4.59,,,,3.25,4.41,3.35,4.46,2.44,2.24,2.09,0.98,,,,,,,
August,,,3.59,5.23,6.7,3.34,3.87,6.23,3.86,3.69,0.92,4.71,,,3.11,2.1,2.43,2.39,2.67,5.29,5.37,8.77,3.33,,,,,,,
September,,,6.61,1.61,6.03,5.48,3.92,3.2,6.04,5.32,5.17,1.64,,,5.53,6.29,7.18,5.14,1.77,2.92,4.54,6.16,2.74,,,,,,,
October,,,7.32,7.01,8.63,3.21,3.57,6.17,4.7,2.27,1.82,2.36,,,3.39,4.52,4.33,3.57,5.3,4.9,3.35,2.75,2.1,,,,,,,
November,,,4.93,2.62,4.57,3.44,2.69,9.75,3.1,2.12,5.98,6.93,,,1.06,2.59,4.01,2.45,5.21,2.1,7.76,1.66,1.2,,,,,,,
December,,,4.83,2.46,2.57,3.39,4.73,5.1,2,3.5,5.12,3.05,,,4.86,2.68,4.66,3.26,4,3.96,0.32,2.81,0.94,,,,,,,
Total,,,53.43,40.84,46.31,37.09,38.96,59.28,36.05,36.8,38.02,40.58,,,,41.37,45.64,33.42,33.27,35.41,40.66,32.85,17.72,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Records notes 1891 and 1892 ""much too small""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
