PAISLEY CAMPHILL RES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS275549,Long,-4.750475,Lat,55.756624,Elevation,611,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,10.3,6.3,5.8,5.2,6.2,6.2,7,3.8,4.2,2.7,7.2,1.2,3.5,2,5.2,8.6,8.75,3.4,6.4,8.85,5.95,3.5,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,7.9,7.3,4.2,4.4,2.4,4.9,1.2,1.5,2.5,5.8,9.9,0.5,3.7,4.9,5.65,3.6,4.3,2.7,2.4,5.55,5.7,4.5,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,4.3,4.3,5.8,3.7,6.2,3.4,3,2.5,1.1,1.8,3.45,5.45,7.45,6.3,2.05,4.65,0.6,2.7,4.4,6.6,2.9,6,4.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,1.8,3.7,2.5,3.8,3.5,4.3,2.1,1.8,2,3.45,2.45,3.8,3.65,3.59,4,6.3,3.75,4.5,1.55,1.9,5.8,4.2,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,5.5,3.9,3.9,2.6,6.1,3.6,4,3,6.5,3,4.05,0.17,0.9,3.57,2.95,4.35,5.15,2.15,2.95,4.15,4,2.8,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,1.5,2.1,2.4,1.7,4.6,1.5,7.1,2.4,4.8,2.52,4.5,2.73,6.35,8.18,4.35,3.15,4.2,4.6,1.7,3.7,3.2,1.8,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,6.2,4,4.9,3.4,6.9,3.3,6,1.3,2.7,6.1,3.84,6.55,6.52,3.75,3.25,7.2,6,2,6.7,6.5,4.4,4.2,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,5.1,4.6,3.8,4,6.3,7.3,3.7,7.7,12.2,4.9,6.7,8.2,3.62,9.6,9.1,2.7,8.05,7.55,4.6,12,6.6,6.8,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,5.4,11.4,7.5,6.3,3.6,2.4,8.8,7.1,8.2,4.25,0.14,2.3,6.75,5.15,8.75,8.4,8.8,5.1,4.45,5.25,6.9,4.2,3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,7.8,6.2,5.6,2.8,3.4,5.5,5,7.5,6,8.5,6,4.25,5.55,4.3,5.15,8.33,10.2,6.5,3.9,11.55,4.7,5.3,9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,5.2,4.3,7.5,6.3,8.1,3.9,11.3,6.8,7.7,4.5,6,8.45,3.55,4.2,6.65,9.25,7.35,4.5,5.3,4.7,4,7.5,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,10.8,4.5,6,5.9,5.8,5.8,1.5,8.9,4.4,6.4,5.57,5.25,8.85,6.5,7.7,6.23,11.5,5.5,6.55,6.2,5.7,5.45,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,71.8,62.6,59.9,50.1,63.1,52.1,60.7,54.3,62.3,53.92,59.8,48.85,60.39,62.04,64.8,72.76,78.65,51.2,50.9,76.95,59.85,56.25,63.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
