"DALRY (CAMPHILL RES)",,,,,,,,,,,,
Grid ref,NS275549,Long,-4.750475,Lat,55.756624,,,,,,,
Station no,5250,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,7.68,8.97,4.06,8.36,4.56,5.58,7.77,7.70,2.66,5.43,,
February,4.31,3.91,3.67,7.26,3.87,2.41,4.51,5.83,3.34,6.21,,
March,5.07,5.49,1.80,4.99,2.04,4.51,7.76,2.15,4.75,2.74,,
April,3.64,3.50,3.65,3.56,6.53,2.62,3.68,2.69,4.31,6.75,,
May,2.71,2.15,3.40,4.25,6.11,4.50,3.32,5.18,3.04,3.44,,
June,3.21,5.29,2.04,6.12,4.91,4.35,3.30,3.29,3.98,4.46,,
July,5.83,5.21,7.98,5.90,2.17,8.76,7.79,5.71,7.27,6.59,,
August,5.53,7.05,5.34,8.79,1.60,7.50,6.08,6.39,1.80,5.16,,
September,6.39,5.22,8.63,9.63,7.22,6.40,4.79,5.50,2.33,4.75,,
October,2.19,7.61,5.64,13.04,4.38,4.28,8.15,6.01,8.72,3.70,,
November,8.53,3.66,10.21,10.74,3.67,3.29,3.67,4.04,6.63,8.85,,
December,10.82,8.61,7.11,8.40,10.56,7.82,6.90,8.95,9.46,8.92,,
Total,65.91,66.67,63.53,91.04,57.62,62.02,67.72,63.44,58.29,67.00,,
Calc annual,65.91,66.67,63.53,91.04,57.62,62.02,67.72,63.44,58.29,67.00,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
