"HERNE BAY (ST ANNE'S HOME)",,,,,,,,,,,,
Grid ref,TR171681,Long,1.117692,Lat,51.370439,,,,,,,
Station no,319/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.10,1.45,0.85,1.35,2.89,3.71,1.05,2.52,1.79,2.31,,
February,4.27,1.05,1.20,1.93,1.71,1.68,2.17,2.49,0.00,1.83,,
March,2.05,2.79,0.20,2.15,1.67,0.24,0.57,1.10,1.21,1.41,,
April,1.59,0.87,1.01,0.23,0.19,0.91,0.15,1.75,1.58,0.72,,
May,2.35,0.80,1.30,1.60,3.89,0.41,1.12,2.08,0.96,1.97,,
June,1.76,1.87,2.46,1.66,1.81,1.51,1.02,4.35,1.79,1.60,,
July,1.03,0.71,2.29,2.08,1.76,2.02,2.42,2.19,2.02,2.78,,
August,2.15,2.92,1.46,3.47,3.91,2.94,1.29,3.81,0.84,2.75,,
September,3.42,4.19,3.03,1.01,0.42,1.36,2.39,4.29,0.31,2.81,,
October,1.49,1.48,1.67,0.91,3.89,0.73,0.65,3.28,2.52,6.11,,
November,2.80,3.74,1.19,3.39,0.43,0.45,3.18,1.31,3.95,3.78,,
December,1.84,1.89,0.90,1.10,1.58,2.44,1.16,3.04,3.93,2.79,,
Total,26.85,23.76,17.56,20.88,24.15,18.40,17.17,32.21,20.90,30.86,,
Calc annual,26.85,23.76,17.56,20.88,24.15,18.40,17.17,32.21,20.90,30.86,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
