HERNE-BAY-ST-ANNES-HOME (MEMORIAL PARK),,,,,,,,,,
Grid ref,TR175677,Long,1.12352,Lat,51.36737,Elevation,14,ft,,
Station no,319/5,,,,,,,,,
,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,1.08,1.35,1.45,,,,,,
February,,0.26,0.73,0.13,,,,,,
March,,1,1.35,2.26,,,,,,
April,,1.59,0.59,1.48,,,,,,
May,,2.41,0.96,1.25,,,,,,
June,,0.52,1.99,0.65,,,,,,
July,,2.13,1.14,1.04,,,,,,
August,,0.97,0.6,1.77,,,,,,
September,,1.52,3.06,1.17,,,,,,
October,0.51,5.56,1.35,1.75,,,,,,
November,2.62,0.95,1.23,3.14,,,,,,
December,0.41,0.24,0.47,3.23,,,,,,
Total,,18.23,14.82,19.32,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Gauge moved 1935,,,,,,,,,,
