HERNE-BAY-ST-ANNES-HOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TR172681,Long,1.12049,Lat,51.37119,Elevation,21,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,319/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,1.49,3.39,3.93,2.57,3.89,2.08,2.08,,,,,,,1.99,1.14,1.28,2.1,1.45,0.85,1.35,2.89,3.71,1.05,2.52,1.79,2.31
February,,,,,2.35,1.62,3.23,1.1,1.21,1.2,1.54,,,,,,,1.12,0.71,2.79,4.27,1.05,1.2,1.93,1.71,1.68,2.17,2.49,0,1.83
March,,,,,0.2,0.46,4.39,0.59,1.5,2.89,1.73,,,,,,,0.64,0.76,0.35,2.05,2.79,0.2,2.15,1.67,0.24,0.57,1.1,1.21,1.41
April,,,,,1.88,0.91,1.67,0.54,2.21,0.97,,,,,,,,1.14,,1.48,1.59,0.87,1.01,0.23,0.19,0.91,0.15,1.75,1.58,0.72
May,,,,,1.45,0.22,2.84,1.95,1.9,0.4,,,,,,,,1.27,,1.51,2.35,0.8,1.3,1.6,3.89,0.41,1.12,2.08,0.96,1.97
June,,,,,1.86,3.23,1.8,1.29,1.42,0.26,,,,,,,,2.01,0.31,1.18,1.76,1.87,2.46,1.66,1.81,1.51,1.02,4.35,1.79,1.6
July,,,,,0.22,5.18,0.9,1.37,0.83,2.88,,,,,,,,1,,2.32,1.03,0.71,2.29,2.08,1.76,2.02,2.42,2.19,2.02,2.78
August,,,,,2.55,1.06,1.55,3.09,1.27,0.2,,,,,,,0.14,2.2,,1.55,2.15,2.92,1.46,3.47,3.91,2.94,1.29,3.81,0.84,2.75
September,,,,,2.5,2.14,2.98,2.42,1.32,1.74,,,,,,,0.76,1.23,,1.37,3.42,4.19,3.03,1.01,0.42,1.36,2.39,4.29,0.31,2.81
October,,,,,2.9,1.75,2.59,2.51,9.26,3.19,,,,,,,,1.35,,0.32,1.49,1.48,1.67,0.91,3.89,0.73,0.65,3.28,2.52,6.11
November,,,,,3.55,3.18,1.35,1.97,4.09,5.55,,,,,,,,1.51,,3.99,2.8,3.74,1.19,3.39,0.43,0.45,3.18,1.31,3.95,3.78
December,,,,,2.3,1.59,4.36,1.87,1.21,1.27,,,,,,,,1.53,,1.9,1.84,1.89,0.9,1.1,1.58,2.44,1.16,3.04,3.93,2.79
Total,,,,,23.25,24.73,31.59,21.27,30.11,22.63,,,,,,,,16.99,,20.04,26.85,23.76,17.56,20.88,24.15,18.4,17.17,32.21,20.9,30.86
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
