"PAISLEY THE COATS OBSERVATORY",,,,,,,,,,,,
Grid ref,NS4790764061,Long,-4.430746,Lat,55.845706,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.21,3.12,3.97,9.59,4.85,2.03,5.25,2.70,6.03,6.44,,
February,,1.60,1.53,9.23,2.90,2.97,3.47,3.96,3.47,2.28,,
March,0.33,2.53,2.63,9.02,1.93,4.26,4.67,5.36,5.33,3.52,,
April,1.47,2.86,0.87,2.32,4.33,2.46,1.70,2.62,1.43,4.31,,
May,1.36,1.86,2.17,2.95,2.38,1.56,5.06,4.99,2.93,2.57,,
June,2.38,3.06,1.98,2.80,1.36,1.00,1.40,3.46,3.13,3.07,,
July,2.54,2.12,2.64,4.10,1.76,2.54,2.82,2.59,2.68,3.13,,
August,4.30,3.06,2.76,8.78,4.13,4.15,6.13,5.33,3.54,2.75,,
September,3.94,3.42,3.48,3.93,4.64,2.52,2.25,1.38,5.26,1.62,,
October,6.16,3.64,2.83,9.33,2.19,3.07,7.07,6.60,1.71,6.51,,
November,5.51,3.03,3.85,3.06,2.21,4.51,4.83,3.64,3.47,3.06,,
December,9.39,5.05,6.33,4.46,3.81,3.41,4.34,7.30,4.29,5.91,,
Total,,35.35,35.04,69.57,36.49,34.48,48.99,49.93,43.27,45.17,,
Calc annual,39.59,35.35,35.04,69.57,36.49,34.48,48.99,49.93,43.27,45.17,,
Difference,NaN,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,,
