COLCHESTER LEXDEN HILL HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL972252,Long,0.864323,Lat,51.890459,Elevation,90,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,1.42,1.9,1.99,1.07,2.1,0.74,1.46,2.58,0.38,0.44,1.8,2.17,0.83,2.76,0.88,0.69,0.73,1.29,1.03,2.4,2.82,1.38,2.61,1.03,1.54,2.55,2.32,1.96,1.92,4.04,1.31,2.35,1.09,2.42,1.42,,1.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,3.08,1.25,0.36,0.69,2.33,0.69,1.32,2.89,0.76,0.87,0.46,2.18,0.66,1.95,0.86,1.14,1.37,2.1,1,1.22,0.55,1.84,3.2,3.86,0.58,0.52,3.04,0.36,0.18,1.69,3.14,0.65,1.98,2,3.03,,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,0.45,0.68,1.21,2.8,2.96,1.56,0.87,0.98,1.51,1.29,1.32,1.58,1.73,1.49,0.76,1.66,2.54,0.9,2.01,2.65,1.43,3.92,0.98,3.6,1.98,0.9,2.19,0.89,0.74,1.51,1.36,0.69,1.12,0.1,1.83,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,0.06,1.66,0.94,1.07,1.64,0.89,1.85,0.85,1.66,0.62,1.91,0.92,1.78,0.9,3.11,2.32,1.58,1.43,0.9,0.29,2.18,0.87,0.69,1.36,1.74,2,3.42,2.98,1.45,2.38,1.09,2.43,1.72,4.25,1.98,,1.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,0.83,1.73,0.32,0.2,0.84,2.89,1.49,0.54,1.09,2.59,3.28,1.59,1.2,1.27,2.3,1.2,0.69,2.48,0.71,1.23,1.53,1.41,2.07,1.67,2.75,1.71,0.65,1.03,1.03,1.08,1.22,3.54,2.38,0.93,0.72,,1.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,0.62,2.01,0.24,2.02,2.69,1.82,1.42,1.94,1.6,3.26,3.05,0.86,3.23,1.71,1.77,0.59,4.27,1.37,2.15,1.84,1.09,1.08,0.38,2.2,0.64,0.43,1.13,0.82,0.1,1.11,0.84,1.77,0.3,3.31,3.61,,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,2.18,4.04,3.64,0.55,0.46,0.99,2.54,0.71,2.55,1.09,3.82,3.12,0.31,0.26,2.54,3.09,3.67,1.55,0.32,0.95,1.44,2.03,4.4,0.85,2.16,4.66,2.05,4.36,0.23,2.71,1.73,3.21,1.78,2.15,3.43,,1.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,1.5,1.49,1.6,3.23,2.08,1.09,0.33,2.4,0.95,2.85,3.85,1.33,1.37,0.44,2.02,1.72,2.42,2.42,0.93,5.19,0.52,0.63,2.08,4.27,3.6,0.81,2.18,2.13,0.99,1.01,1.56,1.95,2.14,1.19,2.61,,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,1.15,1.21,1.25,4.33,2.99,0.32,2.34,0.69,0.84,1.44,2.03,0.83,0.96,1.54,0.66,0.85,1.78,0.88,1.43,2.5,1.09,1.08,1.58,1.05,1.23,3.58,0.72,3.74,2.84,2.86,1.28,1.71,2.25,1.57,3.3,,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,1.96,2.15,1.83,2.67,0.49,2.01,1.87,1.5,1.35,1.46,5.03,0.77,0.99,3.44,2.45,1.17,4.18,1.36,2.25,1.53,3.15,1.31,1.43,2.25,3.36,1.7,1.07,0.83,0.63,0.9,3.83,3.97,2.62,2.48,2.1,,2.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
