COLCHESTER LEXDEN HILL HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL972252,Long,0.864323,Lat,51.890459,Elevation,90,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,0.7,1.85,1.46,0.49,1.37,1.8,1.98,1.04,2.09,0.72,1.8,2.51,0.38,0.4,1.77,2.14,0.81,2.77,0.87,0.62,0.71,1.3,1.07,2.47,2.86,1.41,2.65,0.99,1.46,2.56,2.35,2,1.97,4.03,1.28,2.31,1.14,2.41,1.42,3.05,1.56,1.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,1.99,0.86,0.02,2.24,3.01,1.23,0.33,0.67,2.33,0.71,1.31,2.81,0.76,0.86,0.45,2.16,0.67,1.93,0.83,1.29,1.31,2.2,1,1.26,0.56,1.85,3.26,3.76,0.55,0.52,2.98,0.35,0.16,1.66,3.18,0.63,1.97,1.96,3.01,1.03,0.46,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,1.1,2.14,1.74,1.27,0.41,0.65,1.21,2.8,2.97,1.48,0.86,0.98,1.54,1.29,1.32,1.55,1.81,1.46,0.75,1.66,2.45,0.88,1.96,2.72,1.45,3.94,1.14,3.58,1.94,0.91,2.21,0.94,0.74,1.55,1.37,0.75,1.15,0.09,1.85,2.8,0.01,1.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,1.98,1.14,0.62,1.45,0.07,1.64,0.94,1.02,1.66,1.12,1.82,0.9,1.66,0.6,1.88,0.92,1.86,0.88,3.12,2.31,1.56,1.45,0.85,0.31,2.2,0.89,0.71,1.45,1.85,2.08,3.34,3.17,1.45,2.42,1.06,2.62,1.75,4.28,1.99,0.95,1.74,1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,3.8,2.27,1.9,1.15,0.83,1.74,0.31,0.21,0.82,2.85,1.49,0.85,1.1,2.52,3.35,1.63,1.2,1.27,2.29,1.19,0.66,2.49,0.74,1.23,1.56,1.38,2.09,1.68,2.89,1.74,0.65,1.02,1.03,1.07,1.19,3.56,2.44,0.89,0.7,1.86,1.46,1.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,1.78,2.14,1.66,4.11,0.64,2.01,0.24,2.01,2.62,1.82,1.43,1.91,1.72,3.25,3.16,0.87,3.23,1.73,1.77,0.6,4.3,1.4,2.23,1.85,1.07,1.08,0.5,2.65,0.63,0.58,1.15,0.81,0.1,1.08,0.84,1.82,0.3,3.29,3.68,2.44,0.78,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,2.86,2.95,2.58,1.57,2.11,3.96,3.67,0.57,0.47,0.98,2.55,0.73,2.53,1.07,3.9,3.07,0.32,0.25,2.59,3.08,3.66,1.55,0.35,1,1.48,2.03,4.4,0.86,2.14,4.67,2.11,4.61,0.26,2.71,1.72,3.21,1.84,2.12,3.52,1.69,1.88,3.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,,2.11,3.34,2.79,3.56,1.47,1.45,1.6,3.26,2.04,1.11,0.34,2.42,0.91,2.79,3.87,1.3,1.5,0.45,2,1.72,2.5,2.45,0.96,5.22,0.52,0.61,2.11,4.28,3.68,0.86,2.26,2.18,1.12,0.97,1.61,1.95,2.17,1.14,2.62,2.26,1.12,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,,2.63,1.06,0.5,2.03,1.08,1.2,1.26,4.32,2.98,0.32,2.31,0.69,0.83,1.47,2.04,0.84,1.07,1.57,0.77,0.85,1.87,0.9,1.47,2.54,1.07,1.09,1.61,1.05,0.95,3.66,0.71,3.74,2.82,2.87,1.28,1.66,2.22,1.5,3.37,0.65,1.03,5.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,,4.29,1.18,3.89,5.01,1.92,2.12,1.8,2.64,0.48,1.97,1.84,1.5,1.35,1.49,5.01,0.75,0.99,3.46,2.46,1.14,4.15,1.39,2.3,1.54,3.19,1.28,1.42,2.23,3.48,1.7,1.09,0.82,0.63,0.85,3.87,3.97,2.65,2.47,2.13,2.05,2.6,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
