COLCHESTER LEXDEN HILL HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL972252,Long,0.864323,Lat,51.890459,Elevation,90,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,12.73,2.46,1.4,3.06,1.59,1.74,1.77,0.64,1.33,1.29,2.36,4.22,3.65,2.84,5.79,1.56,2.28,2.43,4.35,1.55,1.42,1.26,2.12,3.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,7.95,2,3.11,1.08,0.48,0.61,2.17,0.35,0.95,0.24,2.64,2.06,3.59,0.49,0.8,1.67,2.05,1.01,0.65,1.13,1.59,1.79,1.68,1.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,6.5,0.09,1.88,2.84,0.02,1.4,0.24,1.14,1.62,1.89,0.55,0.68,2.81,0.42,1.58,2.75,2.68,2.27,0.37,0.39,0.99,1.16,4.27,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,12.47,4.34,1.98,0.92,1.77,1.96,2.8,2.13,0.61,2.05,2.36,1.26,2.89,0.34,2.48,1.56,1.29,0.68,0.91,1.29,0.73,1.25,1.31,1.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,10.31,0.9,0.71,1.88,1.5,1.94,2.09,3.06,1.18,0.99,1.37,0.72,2.12,1.42,1.37,0.38,1.69,2.04,1.19,0.54,1.93,1.45,0.57,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,4.95,3.36,3.6,2.4,0.79,0.41,0.95,0.47,1.83,1.03,3.32,3.11,2.25,0.54,1.45,0.28,0.72,0.43,1.97,1.81,1.85,2.67,2.92,1.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,14.35,2.11,3.54,1.66,1.88,3.67,3.49,2.21,0.93,1.14,0.21,2.95,0.91,1.22,1.95,2.6,2.08,1.76,1.41,1.75,1.19,2.33,1.25,1.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,10,1.18,2.65,2.26,1.14,1.94,3.35,0.8,0.45,1.31,1.17,0.59,1.13,1.66,3.07,0.07,3.81,1.46,1.1,2.27,1.86,4.17,0.27,3.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,14.59,1.51,3.42,0.65,1.19,5.09,1.55,1.5,1.7,1.27,3.05,2,1.89,1.57,0.17,1,0.41,1.75,2.44,2.44,1.54,1.52,1.26,1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,12.79,2.57,2.18,2.03,2.67,0.95,0.62,4.96,1.88,2.01,2.42,1.44,1.41,2.63,7.76,2.07,1.32,3.75,1.45,4.23,1.64,1.11,0.18,1.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
