"KEITH HRS",,,,,,,,,,,,
Grid ref,NJ430517,Long,-2.954092,Lat,57.551797,,,,,,,
Station no,5664,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.04,2.28,1.02,3.77,1.17,1.57,1.28,2.05,1.95,1.03,,
February,1.49,4.16,0.79,2.45,3.35,2.42,2.41,1.66,2.54,1.71,,
March,2.44,2.50,3.33,1.07,0.93,4.13,3.03,1.46,3.37,4.14,,
April,2.17,1.71,2.07,3.08,2.09,2.43,2.01,2.21,4.04,4.38,,
May,1.20,1.63,4.12,2.59,2.69,1.30,5.61,2.98,2.50,3.22,,
June,2.47,3.79,2.66,1.89,1.64,0.47,1.61,6.56,1.61,1.81,,
July,5.63,2.51,5.36,6.34,0.86,1.74,2.70,3.39,4.39,3.00,,
August,3.97,3.49,3.03,4.72,5.14,3.76,3.66,3.20,2.29,3.15,,
September,2.23,1.01,2.29,2.74,2.58,3.07,1.67,1.05,6.97,2.97,,
October,4.79,3.39,3.12,4.98,2.15,7.59,4.76,5.78,0.74,3.75,,
November,3.03,3.59,1.55,3.33,2.39,8.11,7.66,1.81,2.36,4.03,,
December,3.28,4.14,4.61,1.48,3.72,0.83,2.85,1.98,1.88,3.14,,
Total,35.74,34.20,33.95,38.44,28.71,37.42,39.25,34.13,34.64,36.33,,
Calc annual,35.74,34.20,33.95,38.44,28.71,37.42,39.25,34.13,34.64,36.33,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
