"ACHNACROISH, TOROSAY ARGYLE",,,,,,,,,,,,,,,,,,,,
Grid ref,NM 727 353,Long,-5.689777,Lat,56.455261,Elevation,18,ft,,,,,,,,,,,,
Station no,RR1146,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849
January,,,,,,6.1,9.1,5.5,,,,,,,,,,,,
February,,,,,,9.7,11.2,4.8,,,,,,,,,,,,
March,,,,,,6.5,9.2,2.6,,,,,,,,,,,,
April,,,,,,7.3,6.7,3.4,,,,,,,,,,,,
May,,,,,,10,0.4,2.9,,,,,,,,,,,,
June,,,,,,1.2,6.3,4.1,,,,,,,,,,,,
July,,,,,,8.1,9.7,2.4,,,,,,,,,,,,
August,,,,,,7,7.8,4.4,,,,,,,,,,,,
September,,,,,,12.3,9.6,5.4,,,,,,,,,,,,
October,,,,,,9.4,8.1,11.9,,,,,,,,,,,,
November,,,,,,6.9,10.9,12.1,,,,,,,,,,,,
December,,,,,,6.2,11.9,7.5,,,,,,,,,,,,
Total,,,,,,90.7,100.9,67,,,,,,,,,,64.5,84.7,78.9
,,,,,,,,,,,,,,,,,,,,
Achnacroish visible on 1842 map,,,,,,,,,,,,,,,,,,,,
Subsumed into Duart/Torosay,,,,,,,,,,,,,,,,,,,,
