STRONE (DUNMORE HOUSE),,,,,,,,,,
Grid ref,NS186807,Long,-4.909376,Lat,55.984882,Elevation,11,ft,,
Station no,5432/2,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,4.83,8.26,5.41,6.35,10.42,,,
February,,,3.64,6.87,5.35,2.47,5.54,,,
March,,,2.08,4.9,2.88,3.34,8.39,,,
April,,,3.92,3.53,5.51,2.42,3.65,,,
May,,,3.8,3.93,4.76,3.9,2.82,,,
June,,,1.87,5.18,4.72,3.17,2.97,,,
July,,,7.24,4.96,0.88,7.55,6.92,,,
August,,,6.29,5.75,1.74,6.95,6,,,
September,,,7.38,9.43,6.59,5.32,4.59,,,
October,,,3.71,11.52,5.07,5.23,7.69,,,
November,,3.06,12.78,10.32,2.99,4.78,2.32,,,
December,,9.21,9.04,12.21,11.7,11.88,8.21,,,
Total,,,66.58,86.86,57.6,63.36,69.52,,,
,,,,,,,,,,
BR 1953 NP G leak,,,,,,,,,,
BR 1954 NP G leak ,,,,,,,,,,
53 to 4 used in calculating average?,,,,,,,,,,
,,,,,,,,,,
Station no,5432/2,,,,,,,,,
Midas,13790,,,,,,,,,
Hyd Stn,666049,,,,,,,,,
